Feature Group,R2_Train,R2_Test,MSE_Test
"('RGB',)",0.5924045674371674,0.7054457857606846,46.18362907054878
"('Lab',)",0.5989947702843385,0.7266683801175589,42.85610436266505
"('HSV',)",0.6413452898762804,0.7397360214438307,40.80720785850851
"('GRAY',)",0.4965700776389953,0.5757877557532939,66.51292016333997
"('GLCM',)",0.5291439358545273,0.576164478952278,66.45385312697424
"('LBP',)",0.5692714117672867,0.7128754390850536,45.01872177447918
"('Temp',)",0.33661468353721136,0.3957474852932724,94.74172378158094
"('Yellow',)",0.17926028508462788,0.20049577191528056,125.35555400406054
"('Cyan',)",0.37736297875534963,0.3777732021295881,97.55994055225041
"('Magenta',)",0.3742485009684302,0.4124321217903689,92.12571278629166
"('Brightness',)",0.37810873313994187,0.41167432440299623,92.24452905765085
"('Chroma',)",0.16992191251375977,0.11202089973839069,139.22767153337176
"('Day',)",0.05767852285221964,0.06191102613387045,147.08447922257696
"('RGB', 'Lab')",0.6229412257652961,0.7418038351660112,40.482992018722264
"('RGB', 'HSV')",0.6743320283886762,0.696664410938623,47.56047495462109
"('RGB', 'GRAY')",0.5989170838604836,0.7086420955308828,45.6824745200949
"('RGB', 'GLCM')",0.6786608831628269,0.7429159608970572,40.308620036385896
"('RGB', 'LBP')",0.7479672067045852,0.7902883146778319,32.881032483920684
"('RGB', 'Temp')",0.7442906876200042,0.8587844288237112,22.141416564125695
"('RGB', 'Yellow')",0.5924045674371674,0.7054457857606857,46.18362907054862
"('RGB', 'Cyan')",0.5924045674371673,0.7054457857606864,46.18362907054852
"('RGB', 'Magenta')",0.5924045674371676,0.7054457857606853,46.18362907054868
"('RGB', 'Brightness')",0.5924045674371674,0.705445785760686,46.183629070548584
"('RGB', 'Chroma')",0.5924046483234454,0.7053797335400345,46.19398550447614
"('RGB', 'Day')",0.7139936199131443,0.7860574384865695,33.544398367736996
"('Lab', 'HSV')",0.6590944757367871,0.7364049414701967,41.32949324595046
"('Lab', 'GRAY')",0.6117954155718461,0.7418557209372663,40.474856765183716
"('Lab', 'GLCM')",0.6999822354229622,0.7637803412499807,37.0372602784047
"('Lab', 'LBP')",0.7582901546869767,0.8012579287534645,31.161089047278914
"('Lab', 'Temp')",0.7464498684958205,0.8611698740559657,21.76739876893285
"('Lab', 'Yellow')",0.6005285592099932,0.7306107599381944,42.237972288874666
"('Lab', 'Cyan')",0.6039608821844186,0.7412546844680636,40.56909424001737
"('Lab', 'Magenta')",0.5990592051716235,0.7272619210272113,42.76304212867062
"('Lab', 'Brightness')",0.5994326564723458,0.7287773156396649,42.52544096971995
"('Lab', 'Chroma')",0.602589963006571,0.7330958398181429,41.848332616997546
"('Lab', 'Day')",0.7172663906146997,0.7919102724740463,32.62672311197059
"('HSV', 'GRAY')",0.6427470721768176,0.7459856403488645,39.827320057250056
"('HSV', 'GLCM')",0.7455518092074881,0.812931845429748,29.33071687293979
"('HSV', 'LBP')",0.7760162287871734,0.8301499316310086,26.631065440427307
"('HSV', 'Temp')",0.7745497549086282,0.8712364426070544,20.189045292723517
"('HSV', 'Yellow')",0.6414373043180555,0.7416515315661247,40.50687194514408
"('HSV', 'Cyan')",0.6418632040628771,0.7353287342190828,41.4982335120398
"('HSV', 'Magenta')",0.6553673929906176,0.7302981895531915,42.28698070234006
"('HSV', 'Brightness')",0.6423287014708359,0.7360544433432743,41.384448411082005
"('HSV', 'Chroma')",0.6425583836881879,0.7342110937243473,41.673470163046105
"('HSV', 'Day')",0.7320592197683458,0.7682968138090699,36.329115280666485
"('GRAY', 'GLCM')",0.5553015829360562,0.5859065104821686,64.92638433236887
"('GRAY', 'LBP')",0.6982033982205802,0.7546715090066023,38.46544873831334
"('GRAY', 'Temp')",0.5953046068186646,0.6742981006397322,51.06732472483529
"('GRAY', 'Yellow')",0.5670734214691747,0.7104296955476916,45.402193837925715
"('GRAY', 'Cyan')",0.5532194928849394,0.6871650006561812,49.049902773558365
"('GRAY', 'Magenta')",0.5265396774030944,0.6400393275333557,56.43881286885317
"('GRAY', 'Brightness')",0.5346414328563465,0.6548528353764687,54.11617914511987
"('GRAY', 'Chroma')",0.5476147197837662,0.6739665472805327,51.119309509360974
"('GRAY', 'Day')",0.594381164960835,0.6173127721201122,60.0021460500371
"('GLCM', 'LBP')",0.7220797763643334,0.7830443232637468,34.01682955042109
"('GLCM', 'Temp')",0.6101947553587019,0.6740623120889013,51.10429439100958
"('GLCM', 'Yellow')",0.6317334164599646,0.7134213720513454,44.93312406650644
"('GLCM', 'Cyan')",0.5449837326787101,0.617179949302841,60.02297155321585
"('GLCM', 'Magenta')",0.5859921608835722,0.641227528566896,56.25251291746396
"('GLCM', 'Brightness')",0.5832925675450185,0.6252316040079704,58.76053966010529
"('GLCM', 'Chroma')",0.5730879729768006,0.6505723185624337,54.78732826203262
"('GLCM', 'Day')",0.6025323881339455,0.6205056037559127,59.50153684187035
"('LBP', 'Temp')",0.793228671777076,0.8774750365252946,19.210886116879234
"('LBP', 'Yellow')",0.5901298096370887,0.7140842904601555,44.8291840228184
"('LBP', 'Cyan')",0.6831942954601015,0.7399641625452666,40.77143724822655
"('LBP', 'Magenta')",0.6622839937820161,0.7290306930804962,42.48571351318903
"('LBP', 'Brightness')",0.6823850561822238,0.7351124419109154,41.532146330965226
"('LBP', 'Chroma')",0.6720278375938837,0.7458282595802217,39.8519960411283
"('LBP', 'Day')",0.606768164913629,0.7340597188058866,41.69720448001328
"('Temp', 'Yellow')",0.4806947530613408,0.5813701365830597,65.63764969322209
"('Temp', 'Cyan')",0.4921474049215234,0.5341561989184075,73.04039892801225
"('Temp', 'Magenta')",0.5491804981817789,0.6279104640000326,58.34051689273514
"('Temp', 'Brightness')",0.5416851350869063,0.6156725188908049,60.259323992371854
"('Temp', 'Chroma')",0.3537853078452222,0.39114466082054566,95.46340803476411
"('Temp', 'Day')",0.4515205747981714,0.5355123551380999,72.82776501281353
"('Yellow', 'Cyan')",0.38707711531609235,0.3993577539609363,94.17566394969904
"('Yellow', 'Magenta')",0.4112465685758868,0.43935815285429225,87.9039370625603
"('Yellow', 'Brightness')",0.40461201639840605,0.4266268697048492,89.90009542710604
"('Yellow', 'Chroma')",0.3488117677692151,0.35226688523127114,101.55911700820388
"('Yellow', 'Day')",0.1939963719730563,0.22951826090694305,120.80507126947634
"('Cyan', 'Magenta')",0.39670095004812966,0.4186954922863265,91.14366885097147
"('Cyan', 'Brightness')",0.3940296093412975,0.41350869887339103,91.95691453366251
"('Cyan', 'Chroma')",0.4030879115975483,0.4275698498102787,89.75224405949776
"('Cyan', 'Day')",0.39808067638997935,0.3681983309069814,99.06120001338265
"('Magenta', 'Brightness')",0.3791605004039996,0.40810918922971595,92.8035123363466
"('Magenta', 'Chroma')",0.3923342134062756,0.41630765151994376,91.51806224581374
"('Magenta', 'Day')",0.3847264240920878,0.4092835636458758,92.61938028253797
"('Brightness', 'Chroma')",0.38881737907239367,0.41051871465317313,92.4257189692397
"('Brightness', 'Day')",0.3897695882293317,0.4082699834593633,92.77830115042657
"('Chroma', 'Day')",0.17403886029300564,0.1325481506169236,136.00917084798684
"('RGB', 'Lab', 'HSV')",0.7074481696946924,0.741059331306688,40.59972397643462
"('RGB', 'Lab', 'GRAY')",0.6256418079701799,0.7363992979919141,41.33037809598852
"('RGB', 'Lab', 'GLCM')",0.7189863035832347,0.7865857903523822,33.4615572287893
"('RGB', 'Lab', 'LBP')",0.7760392752575922,0.8327739674038761,26.219638650574957
"('RGB', 'Lab', 'Temp')",0.7605525408185869,0.8610246163034301,21.79017396561454
"('RGB', 'Lab', 'Yellow')",0.6229412257652975,0.7418038351660179,40.48299201872122
"('RGB', 'Lab', 'Cyan')",0.6229412257652963,0.7418038351660075,40.482992018722854
"('RGB', 'Lab', 'Magenta')",0.6229412257652943,0.7418038351660134,40.482992018721916
"('RGB', 'Lab', 'Brightness')",0.6229412257652968,0.741803835166023,40.48299201872041
"('RGB', 'Lab', 'Chroma')",0.6241242661366728,0.7403633523077162,40.70884764323534
"('RGB', 'Lab', 'Day')",0.7333307498635562,0.8060072182054656,30.416440314391714
"('RGB', 'HSV', 'GRAY')",0.6846115234421699,0.7005479494177718,46.951568709414595
"('RGB', 'HSV', 'GLCM')",0.7595830020363101,0.7933025853812128,32.40842013158117
"('RGB', 'HSV', 'LBP')",0.7978991858648067,0.8255254781231643,27.356140944819018
"('RGB', 'HSV', 'Temp')",0.7889699061924984,0.8445447587280065,24.37407734436732
"('RGB', 'HSV', 'Yellow')",0.674332028388676,0.6966644109386252,47.560474954620744
"('RGB', 'HSV', 'Cyan')",0.6743320283886762,0.6966644109386241,47.56047495462092
"('RGB', 'HSV', 'Magenta')",0.6743320283886762,0.6966644109386234,47.56047495462103
"('RGB', 'HSV', 'Brightness')",0.6743320283886762,0.696664410938624,47.56047495462093
"('RGB', 'HSV', 'Chroma')",0.6744253540401126,0.6952659539660971,47.779741272901575
"('RGB', 'HSV', 'Day')",0.7624957308889764,0.7362514552444306,41.35355859818631
"('RGB', 'GRAY', 'GLCM')",0.708498335600158,0.7690180164598028,36.21603675693133
