Model,Feature_Groups,R² Score
BayesianRidge,"('Lab', 'RGB')",0.7133564099344791
ARDRegression,"('Lab', 'RGB')",0.6929856735909585
HuberRegressor,"('Lab', 'RGB')",0.7378175973773378
RANSACRegressor,"('Lab', 'RGB')",0.6285048396878041
PassiveAggressiveRegressor,"('Lab', 'RGB')",0.48555489566241283
LinearSVR,"('Lab', 'RGB')",0.6795133973242271
LinearRegression,"('Lab', 'GLCM')",0.7637803412499812
Ridge,"('Lab', 'GLCM')",0.7735466263973745
Lasso,"('Lab', 'GLCM')",0.5560048459463723
ElasticNet,"('Lab', 'GLCM')",0.5303041701588342
BayesianRidge,"('Lab', 'GLCM')",0.7708424792263111
ARDRegression,"('Lab', 'GLCM')",0.7297415619786115
HuberRegressor,"('Lab', 'GLCM')",0.7499802285213688
RANSACRegressor,"('Lab', 'GLCM')",0.5389226538911523
PassiveAggressiveRegressor,"('Lab', 'GLCM')",0.47835948965214237
LinearSVR,"('Lab', 'GLCM')",0.7573874874277176
LinearRegression,"('Lab', 'LBP')",0.7994047690866637
Ridge,"('Lab', 'LBP')",0.7559865432484351
Lasso,"('Lab', 'LBP')",0.5750302075678342
ElasticNet,"('Lab', 'LBP')",0.5107265852882155
BayesianRidge,"('Lab', 'LBP')",0.7845927943941395
ARDRegression,"('Lab', 'LBP')",0.7733225502698843
HuberRegressor,"('Lab', 'LBP')",0.7844911650868266
RANSACRegressor,"('Lab', 'LBP')",0.6955717834315791
PassiveAggressiveRegressor,"('Lab', 'LBP')",0.7600622686778558
LinearSVR,"('Lab', 'LBP')",0.6962750200800127
LinearRegression,"('Lab', 'Temp')",0.8611698740559657
Ridge,"('Lab', 'Temp')",0.8543086564969724
Lasso,"('Lab', 'Temp')",0.6400493175911603
ElasticNet,"('Lab', 'Temp')",0.601304348142299
BayesianRidge,"('Lab', 'Temp')",0.8547779555538374
ARDRegression,"('Lab', 'Temp')",0.8620635729649297
HuberRegressor,"('Lab', 'Temp')",0.856975606253059
RANSACRegressor,"('Lab', 'Temp')",0.7055460900746378
PassiveAggressiveRegressor,"('Lab', 'Temp')",0.7999232912976261
LinearSVR,"('Lab', 'Temp')",0.8108889761084328
LinearRegression,"('Lab', 'Yellow')",0.7267436697944638
Ridge,"('Lab', 'Yellow')",0.7152447596350937
Lasso,"('Lab', 'Yellow')",0.5512691614979042
ElasticNet,"('Lab', 'Yellow')",0.49953287950562575
BayesianRidge,"('Lab', 'Yellow')",0.7130855343802616
ARDRegression,"('Lab', 'Yellow')",0.7300613209633708
HuberRegressor,"('Lab', 'Yellow')",0.7174049581558677
RANSACRegressor,"('Lab', 'Yellow')",0.5848861004809311
PassiveAggressiveRegressor,"('Lab', 'Yellow')",0.4722197536475252
LinearSVR,"('Lab', 'Yellow')",0.672455326885776
LinearRegression,"('Lab', 'Cyan')",0.7353097782858834
Ridge,"('Lab', 'Cyan')",0.7147984959422138
Lasso,"('Lab', 'Cyan')",0.5295592928166558
ElasticNet,"('Lab', 'Cyan')",0.49091332575442614
BayesianRidge,"('Lab', 'Cyan')",0.7127932552307107
ARDRegression,"('Lab', 'Cyan')",0.7300594364744586
HuberRegressor,"('Lab', 'Cyan')",0.7297914656950506
RANSACRegressor,"('Lab', 'Cyan')",0.5949273466706292
PassiveAggressiveRegressor,"('Lab', 'Cyan')",0.6730390226862483
LinearSVR,"('Lab', 'Cyan')",0.6729495482061952
LinearRegression,"('Lab', 'Magenta')",0.7272619210272111
Ridge,"('Lab', 'Magenta')",0.7149849018455863
