Model,Feature_Groups,MAE,MSE,R² Score
ARDRegression,"('LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('HSV', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('RGB', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'HSV', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'RGB', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('HSV', 'RGB', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('HSV', 'GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('RGB', 'GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'HSV', 'RGB', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'HSV', 'GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'RGB', 'GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('HSV', 'RGB', 'GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('Lab', 'HSV', 'RGB', 'GLCM', 'LBP', 'Day', 'Temp')",5.915958821439726,54.12849775685339,0.8632726602504793
ARDRegression,"('LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('HSV', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('RGB', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'HSV', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'RGB', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('HSV', 'RGB', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('HSV', 'GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('RGB', 'GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'HSV', 'RGB', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'HSV', 'GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'RGB', 'GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('HSV', 'RGB', 'GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('Lab', 'HSV', 'RGB', 'GLCM', 'LBP', 'Temp')",6.404676910827457,65.80258467535052,0.8337841853339795
ARDRegression,"('LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('Lab', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('HSV', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('RGB', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('GLCM', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('Lab', 'HSV', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('Lab', 'RGB', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('Lab', 'GLCM', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('HSV', 'RGB', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('HSV', 'GLCM', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('RGB', 'GLCM', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('Lab', 'HSV', 'RGB', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('Lab', 'HSV', 'GLCM', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('Lab', 'RGB', 'GLCM', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
ARDRegression,"('HSV', 'RGB', 'GLCM', 'LBP', 'Day')",8.523393480816914,109.94031339234958,0.7222932982753743
