,MSE,R2 Score
Elastic Net Regression_b/a,201.09237646878503,0.2278492906908185
Robust Regression_b/a,216.353688975462,0.16924919115472836
Quantile Regression_b/a,247.14306021518283,0.051024744960347035
Logistic Regression_b/a,15304.242205882354,-57.76494018432329
Simple Linear Regression_bH,103.25625845489522,0.6035185688954465
Multiple Linear Regression_bH,103.25625845489522,0.6035185688954465
Polynomial Regression_bH,110.17650664038771,0.5769463306094613
Ridge Regression_bH,100.45323588258434,0.6142815620303725
Lasso Regression_bH,100.73900261692566,0.6131842803208749
Elastic Net Regression_bH,138.75952927924905,0.46719378010328594
Robust Regression_bH,103.38236900230464,0.6030343319972433
Quantile Regression_bH,234.4938662527446,0.09959488104306524
Logistic Regression_bH,15338.4275,-57.8962042310485
Simple Linear Regression_b/H,199.5055527933513,0.23394234627079935
Multiple Linear Regression_b/H,199.5055527933513,0.23394234627079935
Polynomial Regression_b/H,203.0161939163364,0.22046225278916665
Ridge Regression_b/H,199.500804322936,0.2339605793578199
Lasso Regression_b/H,199.66867205080132,0.23331600402673347
Elastic Net Regression_b/H,199.71858322641526,0.2331243560372397
Robust Regression_b/H,211.2687506166586,0.1887742414300828
Quantile Regression_b/H,238.92661552236493,0.0825740941150318
Logistic Regression_b/H,15343.736323529412,-57.91658895137364
Simple Linear Regression_bS,101.81441533739837,0.6090549308671823
Multiple Linear Regression_bS,101.81441533739837,0.6090549308671823
Polynomial Regression_bS,100.66893778566244,0.6134533139367063
Ridge Regression_bS,99.8083137982381,0.6167579216697665
Lasso Regression_bS,98.72384876821769,0.6209220300106972
Elastic Net Regression_bS,96.86700814552653,0.6280518915651836
Robust Regression_bS,101.11668363034676,0.6117340678984712
Quantile Regression_bS,222.0858469278912,0.14723895930723963
Logistic Regression_bS,15347.398088235293,-57.93064932633474
Simple Linear Regression_b/S,105.42003083715565,0.5952101565673176
Multiple Linear Regression_b/S,105.42003083715565,0.5952101565673176
Polynomial Regression_b/S,85.8378900686637,0.6704012908594243
Ridge Regression_b/S,105.59378845057829,0.5945429653649053
Lasso Regression_b/S,105.87936306701324,0.5934464213461161
Elastic Net Regression_b/S,108.59005899091078,0.5830379423320751
Robust Regression_b/S,121.05971557135723,0.5351571904979635
Quantile Regression_b/S,199.20916659776265,0.23508040438703415
Logistic Regression_b/S,15340.418676470588,-57.90384991285466
Simple Linear Regression_bV,98.67346484875321,0.6211154932331
Multiple Linear Regression_bV,98.67346484875321,0.6211154932331
Polynomial Regression_bV,85.7533801942355,0.6707257902791897
Ridge Regression_bV,93.78356502602637,0.6398916382211497
Lasso Regression_bV,93.24103860486125,0.641974820926918
Elastic Net Regression_bV,93.71638372226481,0.6401495997225388
Robust Regression_bV,101.87883268212755,0.6088075823634852
Quantile Regression_bV,161.98600653400732,0.37800919139860645
Logistic Regression_bV,15337.289264705883,-57.89183365666301
Simple Linear Regression_b/V,125.30226112555192,0.5188667442042103
Multiple Linear Regression_b/V,125.30226112555192,0.5188667442042103
Polynomial Regression_b/V,124.6776203489876,0.5212652280610184
Ridge Regression_b/V,125.39503361407878,0.5185105181548776
Lasso Regression_b/V,125.72165657923846,0.5172563574618995
Elastic Net Regression_b/V,126.84790143022543,0.5129318237534801
Robust Regression_b/V,132.65588085772114,0.49063045403800476
Quantile Regression_b/V,182.69197121455204,0.2985028192736777
Logistic Regression_b/V,15330.689264705883,-57.866491101311425
Simple Linear Regression_bR,103.14280696817002,0.603954197771515
Multiple Linear Regression_bR,103.14280696817002,0.603954197771515
Polynomial Regression_bR,91.30361179583686,0.6494141157977259
Ridge Regression_bR,99.01598276007276,0.6198002994260512
Lasso Regression_bR,98.92068388054082,0.6201662262638514
Elastic Net Regression_bR,102.6356310692415,0.6059016422096337
Robust Regression_bR,104.33556046908552,0.5993742854051909
Quantile Regression_bR,172.34268144998845,0.33824182665367397
Logistic Regression_bR,15337.289264705883,-57.89183365666301
Simple Linear Regression_b/R,127.96670524607602,0.5086358619912452
Multiple Linear Regression_b/R,127.96670524607602,0.5086358619912452
Polynomial Regression_b/R,123.73575315660392,0.5248817919181122
Ridge Regression_b/R,128.05749554928886,0.5082872470996456
Lasso Regression_b/R,128.30491295671416,0.5073372184113698
Elastic Net Regression_b/R,129.43375058384458,0.5030027290100824
Robust Regression_b/R,135.2304601381952,0.4807446331406652
Quantile Regression_b/R,176.97412476366299,0.32045809808784154
Logistic Regression_b/R,15330.315735294118,-57.865056830130655
Simple Linear Regression_bG,96.17538803987458,0.6307075613848425
Multiple Linear Regression_bG,96.17538803987458,0.6307075613848425
Polynomial Regression_bG,86.81578410619952,0.6666463918027228
Ridge Regression_bG,90.75741227250627,0.6515114024118185
Lasso Regression_bG,89.78133232818998,0.6552593357476368
Elastic Net Regression_bG,89.93475674449346,0.6546702195715073
Robust Regression_bG,100.24590919903777,0.6150776511142572
Quantile Regression_bG,159.56779901797645,0.3872945789480934
Logistic Regression_bG,15337.289264705883,-57.89183365666301
Simple Linear Regression_b/G,121.74946775356891,0.5325086930954527
Multiple Linear Regression_b/G,121.74946775356891,0.5325086930954527
Polynomial Regression_b/G,125.25246616201642,0.51905794596476
Ridge Regression_b/G,121.84967477822053,0.5321239200547176
Lasso Regression_b/G,122.22205775599396,0.5306940509295346
Elastic Net Regression_b/G,123.43198937191598,0.5260481783616364
Robust Regression_b/G,128.39015380743933,0.5070099122026246
Quantile Regression_b/G,182.87771629325977,0.29778959882846046
Logistic Regression_b/G,15330.689264705883,-57.866491101311425
Simple Linear Regression_bB,100.89946971841194,0.6125681217751896
Multiple Linear Regression_bB,100.89946971841194,0.6125681217751896
Polynomial Regression_bB,89.29082951949464,0.6571427591687681
Ridge Regression_bB,95.89574840128644,0.6317813163877842
Lasso Regression_bB,95.58479296968054,0.6329753171813216
Elastic Net Regression_bB,97.37551863524064,0.6260993225905718
Robust Regression_bB,103.86832845938982,0.6011683540518185
Quantile Regression_bB,161.6109498960088,0.3794493267938267
Logistic Regression_bB,15337.289264705883,-57.89183365666301
Simple Linear Regression_b/B,105.50052367073057,0.5949010817051543
Multiple Linear Regression_b/B,105.50052367073057,0.5949010817051543
Polynomial Regression_b/B,98.82644572086826,0.6205280801695684
Ridge Regression_b/B,105.62365807760528,0.5944282725351685
Lasso Regression_b/B,105.93269160261562,0.5932416514422794
Elastic Net Regression_b/B,107.6189634129147,0.5867667367922325
Robust Regression_b/B,109.54791228175563,0.5793599953560256
Quantile Regression_b/B,172.72339832289111,0.3367799571953686
Logistic Regression_b/B,15340.562794117648,-57.90440329307402
Simple Linear Regression_H,257.89243974499925,0.009749480455878201
Multiple Linear Regression_H,257.89243974499925,0.009749480455878201
Polynomial Regression_H,260.9844772404207,-0.0021232667224360124
Ridge Regression_H,257.91394625990523,0.00966690014611693
Lasso Regression_H,257.595338020003,0.010890286048418685
Elastic Net Regression_H,258.0388812028429,0.009187177311761663
Robust Regression_H,272.4611414626655,-0.046191145253302146
Quantile Regression_H,292.80426470588236,-0.12430428567984775
Logistic Regression_H,15386.692205882355,-58.081530137162325
Simple Linear Regression_HL,119.87433476836364,0.5397087933180489
Multiple Linear Regression_HL,119.87433476836364,0.5397087933180489
Polynomial Regression_HL,110.28205662985432,0.5765410417533376
Ridge Regression_HL,118.0490998889194,0.5467172957365256
Lasso Regression_HL,113.75757391508763,0.563195816120551
Elastic Net Regression_HL,111.62670315116141,0.5713778934359843
Robust Regression_HL,133.72643374194107,0.4865197652917721
Quantile Regression_HL,157.95521948615283,0.393486531379012
Logistic Regression_HL,15344.942205882353,-57.92121927565801
Simple Linear Regression_H/L,140.21037155651516,0.4616228633278273
Multiple Linear Regression_H/L,140.21037155651516,0.4616228633278273
Polynomial Regression_H/L,112.9328537780469,0.5663625609269929
