Label,Weight
0_20_8,124.1
1_20_8,116.7
2_20_8,115.6
3_20_8,112.0
4_20_8,110.3
5_20_8,106.1
6_20_8,104.5
0_20_9,126.5
1_20_9,120.6
2_20_9,119.5
3_20_9,115.9
4_20_9,113.7
5_20_9,110.1
6_20_9,99.2
0_20_10,125.8
1_20_10,120.2
2_20_10,118.4
3_20_10,115.4
4_20_10,113.4
5_20_10,108.2
6_20_10,105.8
