Feature Set,Model,R2 Score,MSE
"b,V",Random Forest,0.6173730030088551,99.6481272352942
"b,V",XGBoost,0.5853776617904034,107.98072231547543
"b,V",LightGBM,0.6390207989750842,94.0103590073079
"b,R",Linear Regression,0.6039541977715148,103.1428069681701
"b,R",Ridge Regression,0.619800299426051,99.01598276007282
"b,R",Lasso Regression,0.6201662262638514,98.92068388054079
"b,R",Random Forest,0.6222322102646192,98.38263654411787
"b,R",XGBoost,0.542757488567426,119.0803584559222
"b,R",LightGBM,0.6541365175217027,90.07374957610986
"b,G",Linear Regression,0.6307075613848423,96.17538803987463
"b,G",Ridge Regression,0.6515114024118192,90.7574122725061
"b,G",Lasso Regression,0.6552593357476368,89.78133232818996
"b,G",Random Forest,0.6413520656955329,93.40322369117634
"b,G",XGBoost,0.5726705285286218,111.29006023993757
"b,G",LightGBM,0.6418775051603723,93.26638269705285
"b,B",Linear Regression,0.6125681217751895,100.89946971841195
"b,B",Ridge Regression,0.6317813163877847,95.89574840128634
"b,B",Lasso Regression,0.6329753171813215,95.58479296968056
"b,B",Random Forest,0.5728521650440564,111.24275636764695
"b,B",XGBoost,0.46860611940401864,138.39171162015668
"b,B",LightGBM,0.4925499202771687,132.1559913634404
"H,S",Linear Regression,0.5117691140068863,127.15070768717385
"H,S",Ridge Regression,0.5175089677925893,125.6558688889514
"H,S",Lasso Regression,0.5180047859415817,125.5267422188918
"H,S",Random Forest,0.5299662841376073,122.41159116176478
"H,S",XGBoost,0.387000684964652,159.64433827235723
"H,S",LightGBM,0.46666669692014184,138.8967983494154
"H,V",Linear Regression,0.5226963617857328,124.3049080296466
"H,V",Ridge Regression,0.5311050983683947,122.11500805012017
"H,V",Lasso Regression,0.5494187964855233,117.34554396505814
"H,V",Random Forest,0.524209108042182,123.91094123529398
"H,V",XGBoost,0.4653263387505928,139.2458698537013
"H,V",LightGBM,0.5608453329859808,114.36971379099788
"H,R",Linear Regression,0.5005639879594901,130.06887560224203
"H,R",Ridge Regression,0.5104643997623753,127.49049639017991
"H,R",Lasso Regression,0.5309170997914157,122.16396880371619
"H,R",Random Forest,0.513787177079204,126.6251404705882
"H,R",XGBoost,0.4374032864440054,146.51791257657533
"H,R",LightGBM,0.5194901344804616,125.1399106535423
"H,G",Linear Regression,0.5369157458604715,120.60173233992946
"H,G",Ridge Regression,0.544402710287895,118.65189087621467
"H,G",Lasso Regression,0.5651993984350365,113.23577794415444
"H,G",Random Forest,0.5558751251563948,115.66411252941177
"H,G",XGBoost,0.41314502434488376,152.83552844573558
"H,G",LightGBM,0.5500573297488264,117.17924978203932
"H,B",Linear Regression,0.5433981231358119,118.91351702684413
"H,B",Ridge Regression,0.5506833752410414,117.01620780812243
"H,B",Lasso Regression,0.5603996625845462,114.48578040735369
"H,B",Random Forest,0.5349020069374992,121.12617341176437
"H,B",XGBoost,0.41204497215570324,153.12201670028875
"H,B",LightGBM,0.5005601137243847,130.0698845751471
"S,V",Linear Regression,0.6223805293124369,98.34400959028402
"S,V",Ridge Regression,0.6293449918704601,96.5302440782718
"S,V",Lasso Regression,0.6355554911348238,94.91283436657723
"S,V",Random Forest,0.6049001214023524,102.89645864705894
"S,V",XGBoost,0.5310324546657041,122.13392675942575
"S,V",LightGBM,0.579363302091321,109.54705110368388
"S,R",Linear Regression,0.6070749972378668,102.33005244550353
"S,R",Ridge Regression,0.6141602191582145,100.48483739021182
"S,R",Lasso Regression,0.6193756213663008,99.12658230915012
"S,R",Random Forest,0.6101759631479329,101.52246320588245
"S,R",XGBoost,0.4821628492930594,134.86111196174076
"S,R",LightGBM,0.6000108258970278,104.16978526655204
"S,G",Linear Regression,0.6256154124473123,97.50154408536612
"S,G",Ridge Regression,0.6332776537345408,95.50605500409007
"S,G",Lasso Regression,0.6404529021334779,93.6373942168883
"S,G",Random Forest,0.6019656681251105,103.66068275000008
"S,G",XGBoost,0.476839130998988,136.24757596481467
"S,G",LightGBM,0.5655877187331,113.13464710191448
"S,B",Linear Regression,0.6075589427007171,102.20401779704359
"S,B",Ridge Regression,0.6153380164313718,100.17810186591304
"S,B",Lasso Regression,0.6183858285792284,99.38435554093554
"S,B",Random Forest,0.5779200602812423,109.92291674999987
"S,B",XGBoost,0.48884009772707004,133.12214605822047
"S,B",LightGBM,0.4488587531306846,143.5345480703842
"V,R",Linear Regression,0.5942147943558611,105.67925452255261
"V,R",Ridge Regression,0.594220595948316,105.67774360505943
"V,R",Lasso Regression,0.5808283809385273,109.1654984047782
"V,R",Random Forest,0.535668788808393,120.92647925000007
"V,R",XGBoost,0.47242026688899696,137.39838742488018
"V,R",LightGBM,0.5942701989719457,105.66482541463178
"V,G",Linear Regression,0.5667388629435111,112.83485287503748
"V,G",Ridge Regression,0.5914961995351551,106.38726228134962
"V,G",Lasso Regression,0.5797712507112744,109.4408084279024
"V,G",Random Forest,0.5449748308742081,118.50289264705891
"V,G",XGBoost,0.46097642121419347,140.3787254533813
"V,G",LightGBM,0.563468283298747,113.68661487598736
"V,B",Linear Regression,0.6778231857381682,83.90499476587574
"V,B",Ridge Regression,0.6702672671899017,85.87279405551811
"V,B",Lasso Regression,0.6571309107269694,89.29391522710328
"V,B",Random Forest,0.5925818120480125,106.10453457352938
"V,B",XGBoost,0.47767631375332353,136.02954719455215
"V,B",LightGBM,0.5176619470068657,125.61602828092202
"R,G",Linear Regression,0.6308905793170851,96.12772440311643
"R,G",Ridge Regression,0.607128718946508,102.31606161971214
"R,G",Lasso Regression,0.5959140250615668,105.23672130117566
"R,G",Random Forest,0.5398902500940617,119.82707770588237
"R,G",XGBoost,0.44948752683099824,143.370795585108
"R,G",LightGBM,0.5835897541628086,108.44634980167092
"R,B",Linear Regression,0.6637676902232141,87.5654887102214
"R,B",Ridge Regression,0.6430859461674975,92.95166657879332
"R,B",Lasso Regression,0.6262174761932539,97.34474771388393
"R,B",Random Forest,0.5786176435367933,109.74124408823532
"R,B",XGBoost,0.44237023947622955,145.22436148995857
"R,B",LightGBM,0.5073706734112682,128.29620022051745
"G,B",Linear Regression,0.6703237564789413,85.85808246457995
"G,B",Ridge Regression,0.6628948624297525,87.79280057190736
"G,B",Lasso Regression,0.6530896492626637,90.34638705933928
"G,B",Random Forest,0.6089488889276962,101.84203200000003
"G,B",XGBoost,0.5065215229523794,128.51734575816806
"G,B",LightGBM,0.5274116416507351,123.07690056641826
"L,a,b",Linear Regression,0.6551784989298503,89.8023847828454
"L,a,b",Ridge Regression,0.6668747325659758,86.75631697604776
"L,a,b",Lasso Regression,0.6797944715965929,83.39160980981632
"L,a,b",Random Forest,0.5999395865580455,104.18833823529417
"L,a,b",XGBoost,0.5466598586230276,118.06405832321416
"L,a,b",LightGBM,0.6358040348669111,94.84810574671162
"L,a,H",Linear Regression,0.5910145053757194,106.512710619458
"L,a,H",Ridge Regression,0.6080435415467886,102.07781298700367
"L,a,H",Lasso Regression,0.6240338982248321,97.9134202250672
"L,a,H",Random Forest,0.5988933741595737,104.46080491176467
"L,a,H",XGBoost,0.5675218421094348,112.63094042724343
"L,a,H",LightGBM,0.5808060189288605,109.17132217675989
"L,a,S",Linear Regression,0.6525196841909588,90.49482392456716
"L,a,S",Ridge Regression,0.6503614174464734,91.05690459543831
"L,a,S",Lasso Regression,0.6488999303389078,91.43752189215982
"L,a,S",Random Forest,0.6066007412587824,102.45356364705889
"L,a,S",XGBoost,0.5186605877727918,125.35595075662843
"L,a,S",LightGBM,0.6019860908134902,103.6553640383928
"L,a,V",Linear Regression,0.6303163489753139,96.2772720790754
"L,a,V",Ridge Regression,0.6424118810547026,93.12721437508802
"L,a,V",Lasso Regression,0.6439665336834427,92.72233384085075
"L,a,V",Random Forest,0.5908047045988047,106.56734935294114
"L,a,V",XGBoost,0.5312919106946552,122.06635623359203
"L,a,V",LightGBM,0.6080298835966972,102.08136994759242
"L,a,R",Linear Regression,0.6788606307079053,83.63481140412418
"L,a,R",Ridge Regression,0.6470530558472212,91.91850620790966
"L,a,R",Lasso Regression,0.6448041305290511,92.50419722817209
"L,a,R",Random Forest,0.5649095961054323,113.31125160294114
"L,a,R",XGBoost,0.518861430055338,125.303645097376
"L,a,R",LightGBM,0.61784044544276,99.52639049560983
"L,a,G",Linear Regression,0.6359210145345557,94.8176405550313
"L,a,G",Ridge Regression,0.6428352677916143,93.01695112716962
"L,a,G",Lasso Regression,0.6449275249805932,92.47206142462423
"L,a,G",Random Forest,0.5964690313988554,105.0921801617646
"L,a,G",XGBoost,0.5186798135244712,125.35094376505538
"L,a,G",LightGBM,0.6166429141496772,99.83826538054932
"L,a,B",Linear Regression,0.6673811027837739,86.62444221475778
"L,a,B",Ridge Regression,0.6675998853749734,86.56746433380286
"L,a,B",Lasso Regression,0.6705044022541938,85.81103661225264
"L,a,B",Random Forest,0.5891339417509691,107.00246864705875
"L,a,B",XGBoost,0.5169291261100311,125.80687793487402
"L,a,B",LightGBM,0.5977538114948304,104.75758293919579
"L,b,H",Linear Regression,0.6247303826000085,97.7320337463798
"L,b,H",Ridge Regression,0.6358082306605605,94.84701302982882
"L,b,H",Lasso Regression,0.6405727106919193,93.60619229290141
"L,b,H",Random Forest,0.6345803057045387,95.16680338235295
"L,b,H",XGBoost,0.6149437772629414,100.28077416851013
"L,b,H",LightGBM,0.6499251859701525,91.17051301825816
"L,b,S",Linear Regression,0.5861312329596134,107.78446863672094
"L,b,S",Ridge Regression,0.6242790718294655,97.84956929258894
"L,b,S",Lasso Regression,0.6366653173124481,94.62380065743851
"L,b,S",Random Forest,0.6229884249449548,98.18569441176484
"L,b,S",XGBoost,0.5332497433852419,121.55647490636953
"L,b,S",LightGBM,0.589333066600453,106.95061026149496
"L,b,V",Linear Regression,0.6426789180151533,93.0576695358039
"L,b,V",Ridge Regression,0.6513909280219259,90.78878759998452
"L,b,V",Lasso Regression,0.6460087278893705,92.19048211666052
"L,b,V",Random Forest,0.6272343014788362,97.07993436764711
"L,b,V",XGBoost,0.5579940677170313,115.11227311518594
"L,b,V",LightGBM,0.6248282954300729,97.70653416003341
"L,b,R",Linear Regression,0.6629884953709958,87.76841560347648
"L,b,R",Ridge Regression,0.6778260063547098,83.90426018844595
"L,b,R",Lasso Regression,0.6536387193337423,90.20339191071102
"L,b,R",Random Forest,0.6092601050503987,101.76098151470597
"L,b,R",XGBoost,0.5718412858524513,111.50602116364072
"L,b,R",LightGBM,0.6378699191165993,94.31008438861312
"L,b,G",Linear Regression,0.6375213093632908,94.40087335365301
"L,b,G",Ridge Regression,0.6526732577608705,90.45482852760124
"L,b,G",Lasso Regression,0.6551308747624005,89.81478761676675
"L,b,G",Random Forest,0.6300640583807495,96.34297649999999
"L,b,G",XGBoost,0.5596196576006087,114.6889182844371
"L,b,G",LightGBM,0.634125656731271,95.28520830174399
"L,b,B",Linear Regression,0.645026120321742,92.44638409088445
"L,b,B",Ridge Regression,0.6559395781892376,89.6041757608162
"L,b,B",Lasso Regression,0.6481237686960194,91.63965884212386
"L,b,B",Random Forest,0.5938371559790914,105.77760345588248
"L,b,B",XGBoost,0.5656989575869278,113.10567699905475
"L,b,B",LightGBM,0.5667119081243244,112.84187275934528
"L,H,S",Linear Regression,0.6246708548385902,97.74753665127275
"L,H,S",Ridge Regression,0.6339987964772952,95.31824670945879
"L,H,S",Lasso Regression,0.6429286272268281,92.99263738832747
"L,H,S",Random Forest,0.61662907229651,99.8418702352941
"L,H,S",XGBoost,0.5686697531102718,112.33198823002344
"L,H,S",LightGBM,0.5443047613357261,118.67739986989527
"L,H,V",Linear Regression,0.6045523950112462,102.9870175567451
"L,H,V",Ridge Regression,0.5614228165942458,114.21931886192804
"L,H,V",Lasso Regression,0.5494220635563309,117.34469311686894
"L,H,V",Random Forest,0.5295898066998213,122.50963775000015
"L,H,V",XGBoost,0.5080874786143751,128.10952155789352
"L,H,V",LightGBM,0.5721322720438955,111.43023918992542
"L,H,R",Linear Regression,0.5730697890802039,111.18608021093554
"L,H,R",Ridge Regression,0.5721927353556182,111.41449263825241
"L,H,R",Lasso Regression,0.5525836811234489,116.52130827451607
"L,H,R",Random Forest,0.5424965347279171,119.1483190588237
"L,H,R",XGBoost,0.5011577718746827,129.91423555959824
"L,H,R",LightGBM,0.5584375149104439,114.99678549225601
"L,H,G",Linear Regression,0.5636819500777805,113.63096931372823
"L,H,G",Ridge Regression,0.5520705815588771,116.65493556975895
"L,H,G",Lasso Regression,0.5652025654761734,113.23495314684362
"L,H,G",Random Forest,0.5509851025843109,116.9376285000001
"L,H,G",XGBoost,0.4674717187522409,138.6871452967479
"L,H,G",LightGBM,0.5628678317491891,113.84299138072824
"L,H,B",Linear Regression,0.6343941843085434,95.21527525886766
"L,H,B",Ridge Regression,0.6055574141967439,102.72527889100034
"L,H,B",Lasso Regression,0.5971232682369898,104.9217962730137
"L,H,B",Random Forest,0.5804547625862253,109.26280039705891
"L,H,B",XGBoost,0.5892768991138344,106.96523804494221
"L,H,B",LightGBM,0.5489877790013626,117.45779450001785
"L,S,V",Linear Regression,0.6286475215755463,96.71188732152687
"L,S,V",Ridge Regression,0.6313906222187726,95.99749747432598
"L,S,V",Lasso Regression,0.636320193622188,94.71368174180893
"L,S,V",Random Forest,0.6034330915807471,103.27851944117661
"L,S,V",XGBoost,0.5342201041616763,121.30376238248948
"L,S,V",LightGBM,0.5500015827359699,117.19376806086908
"L,S,R",Linear Regression,0.6281477386678438,96.84204653969076
"L,S,R",Ridge Regression,0.6371806204333105,94.48959948669983
"L,S,R",Lasso Regression,0.6391400852618407,93.97929309932543
"L,S,R",Random Forest,0.590686016286966,106.59825952941185
"L,S,R",XGBoost,0.5290281681464093,122.65590612748198
"L,S,R",LightGBM,0.5782327363510247,109.84148604848087
"L,S,G",Linear Regression,0.6340459453070932,95.30596766844064
"L,S,G",Ridge Regression,0.6308121465258991,96.14815077349013
"L,S,G",Lasso Regression,0.6376578795458189,94.36530617456707
"L,S,G",Random Forest,0.601171618387439,103.86747832352954
"L,S,G",XGBoost,0.5499606315675472,117.2044330355664
"L,S,G",LightGBM,0.5392609620690967,119.990964137505
"L,S,B",Linear Regression,0.6027221921398052,103.4636600572323
"L,S,B",Ridge Regression,0.629891750429219,96.38785092029127
"L,S,B",Lasso Regression,0.6350404167346616,95.04697597123823
"L,S,B",Random Forest,0.5855660929756326,107.93164889705888
"L,S,B",XGBoost,0.5016222662024346,129.79326659965585
"L,S,B",LightGBM,0.48919912048183356,133.02864521947055
"L,V,R",Linear Regression,0.5980203355502558,104.68817167654275
"L,V,R",Ridge Regression,0.617508323245825,99.61288558141946
"L,V,R",Lasso Regression,0.5900251115623327,106.77037994592335
"L,V,R",Random Forest,0.5502104111595927,117.13938255882361
"L,V,R",XGBoost,0.46999625194695205,138.02967730056747
"L,V,R",LightGBM,0.5938031315517728,105.78646448892303
"L,V,G",Linear Regression,0.5953263836797063,105.38976163457826
"L,V,G",Ridge Regression,0.6057895917319194,102.6648125445369
"L,V,G",Lasso Regression,0.5821226779153302,108.82842268654889
"L,V,G",Random Forest,0.5391947369322687,120.00821125000019
"L,V,G",XGBoost,0.5483086262885759,117.63466726766924
"L,V,G",LightGBM,0.5576242648979011,115.2085814223949
"L,V,B",Linear Regression,0.674852529187759,84.67864734197556
"L,V,B",Ridge Regression,0.6739938370363778,84.90227783702596
"L,V,B",Lasso Regression,0.657130862339641,89.29392782868838
"L,V,B",Random Forest,0.5810784236745228,109.10037939705875
"L,V,B",XGBoost,0.5379766535825483,120.32543853811791
"L,V,B",LightGBM,0.5140539225688977,126.55567153947392
"L,R,G",Linear Regression,0.6780108494844526,83.85612121274369
"L,R,G",Ridge Regression,0.6159482336195171,100.01918208115232
"L,R,G",Lasso Regression,0.6004431532342517,104.05719360457901
"L,R,G",Random Forest,0.5584328192236774,114.998008397059
"L,R,G",XGBoost,0.5137515648697208,126.63441501213808
"L,R,G",LightGBM,0.5624292844170996,113.95720292536674
"L,R,B",Linear Regression,0.6864692082623479,81.65329804989985
"L,R,B",Ridge Regression,0.687533938214302,81.3760088189834
"L,R,B",Lasso Regression,0.6711643732003842,85.63915938107256
"L,R,B",Random Forest,0.5812350646652276,109.05958514705873
"L,R,B",XGBoost,0.4975502235666315,130.85375481891614
"L,R,B",LightGBM,0.5374111838954958,120.47270466352518
"L,G,B",Linear Regression,0.6703012311864154,85.86394876056342
"L,G,B",Ridge Regression,0.6672349535611184,86.66250407774456
"L,G,B",Lasso Regression,0.655505622090534,89.71719160360357
"L,G,B",Random Forest,0.5866910796130037,107.63866692647053
"L,G,B",XGBoost,0.5048440420819501,128.95421463706523
"L,G,B",LightGBM,0.533170906535692,121.57700650627373
"a,b,H",Linear Regression,0.6056860768611965,102.69177107880043
"a,b,H",Ridge Regression,0.6013437172275868,103.8226583624318
"a,b,H",Lasso Regression,0.6022040802760666,103.59859271312413
"a,b,H",Random Forest,0.5934986467486982,105.86576192647078
"a,b,H",XGBoost,0.5609985984425733,114.32979863644944
"a,b,H",LightGBM,0.6160853776524651,99.98346545333402
"a,b,S",Linear Regression,0.6241335436218244,97.88746942369674
"a,b,S",Ridge Regression,0.6217470255545492,98.50899393160455
"a,b,S",Lasso Regression,0.6347397724796269,95.12527320905427
"a,b,S",Random Forest,0.6249779278536511,97.66756516176486
"a,b,S",XGBoost,0.5481062790369812,117.68736486828598
"a,b,S",LightGBM,0.6032272989427667,103.33211432897805
"a,b,V",Linear Regression,0.656287577215038,89.51354584846447
"a,b,V",Ridge Regression,0.6662483717906513,86.91944105962148
"a,b,V",Lasso Regression,0.6781688246594848,83.81497949910244
"a,b,V",Random Forest,0.6223192389600332,98.35997152941185
"a,b,V",XGBoost,0.5349979480306291,121.10118732784849
"a,b,V",LightGBM,0.6636791567581537,87.58854561436118
"a,b,R",Linear Regression,0.6471277777608817,91.89904626697955
"a,b,R",Ridge Regression,0.6589564766096507,88.81848034460843
"a,b,R",Lasso Regression,0.6695928628956198,86.04843018536023
"a,b,R",Random Forest,0.6222760873869408,98.37120955882357
"a,b,R",XGBoost,0.49914388419061173,130.43871537351092
"a,b,R",LightGBM,0.5916532911705058,106.34635066928321
"a,b,G",Linear Regression,0.6512799132950826,90.81769933311485
"a,b,G",Ridge Regression,0.6636617912409255,87.59306814226399
"a,b,G",Lasso Regression,0.6761242494248993,84.34745131818534
"a,b,G",Random Forest,0.6416413863134436,93.3278754852942
"a,b,G",XGBoost,0.5356896655054895,120.92104230021639
"a,b,G",LightGBM,0.6221041510274752,98.41598720483167
"a,b,B",Linear Regression,0.6464429040448649,92.0774089641505
"a,b,B",Ridge Regression,0.6585760006613035,88.9175682709937
"a,b,B",Lasso Regression,0.6708367980464582,85.72447027359772
"a,b,B",Random Forest,0.5630666637967963,113.79120924999984
"a,b,B",XGBoost,0.49245619472346946,132.18040045107315
"a,b,B",LightGBM,0.5646326653609195,113.38337309536477
"a,H,S",Linear Regression,0.5040646336051406,129.15719716489554
"a,H,S",Ridge Regression,0.5049405431948818,128.9290827063458
