SubsetSize,Feature Groups,Model,R2,MSE
1,Lab,LinearRegression,0.7266683801175573,42.8561043626653
1,Lab,Ridge,0.7278384732135026,42.67264358394005
1,Lab,Lasso,0.6475322662494813,55.263982954409144
1,Lab,ElasticNet,0.6587896635769147,53.498917518789334
1,Lab,BayesianRidge,0.7251861358073574,43.08850783240003
1,Lab,ARDRegression,0.7300600744289021,42.32431515570943
1,Lab,HuberRegressor,0.7126433336932152,45.05511395223033
1,Lab,RANSACRegressor,0.5929429989706813,63.82312198335821
1,Lab,PassiveAggressiveRegressor,0.5042737642356142,77.72571393081769
1,Lab,LinearSVR,0.6515889678258087,54.62792618864585
1,HSV,LinearRegression,0.7397360214438309,40.807207858508484
1,HSV,Ridge,0.7396291661125459,40.82396187778815
1,HSV,Lasso,0.7039997056540778,46.41036229662842
1,HSV,ElasticNet,0.7091229736660327,45.607076863744076
1,HSV,BayesianRidge,0.7363704342751101,41.3349036845764
1,HSV,ARDRegression,0.739377589219711,40.86340702350237
1,HSV,HuberRegressor,0.7056530181494086,46.151136770966694
1,HSV,RANSACRegressor,0.7128839069336916,45.01739408686985
1,HSV,PassiveAggressiveRegressor,-0.07306524924091606,168.24762656145265
1,HSV,LinearSVR,0.7150972055228442,44.670367440764096
1,RGB,LinearRegression,0.705445785760686,46.18362907054859
1,RGB,Ridge,0.7100619065890121,45.459860060382454
1,RGB,Lasso,0.6692571048731915,51.857710560018
1,RGB,ElasticNet,0.6807428731720628,50.05683847242882
1,RGB,BayesianRidge,0.7162068118037901,44.49639048706169
1,RGB,ARDRegression,0.7086695873430513,45.67816403464166
1,RGB,HuberRegressor,0.6978803457075442,47.369826586249026
1,RGB,RANSACRegressor,0.5473687017182169,70.96878936039555
1,RGB,PassiveAggressiveRegressor,0.5848465149555176,65.09258273610148
1,RGB,LinearSVR,0.7089747083814619,45.6303236162115
1,GLCM,LinearRegression,0.5761644789522782,66.45385312697421
1,GLCM,Ridge,0.5245517813852201,74.54629100270864
