Filename,Mean_RGB_R,Mean_RGB_G,Mean_RGB_B,Std_RGB_R,Std_RGB_G,Std_RGB_B,Mean_LAB_L,Mean_LAB_A,Mean_LAB_B,Std_LAB_L,Std_LAB_A,Std_LAB_B,Mean_HSV_H,Mean_HSV_S,Mean_HSV_V,Std_HSV_H,Std_HSV_S,Std_HSV_V,Mean_GRAY_Gray,Std_GRAY_Gray
6_20_6.png,214.46286815789946,229.4370625358577,231.43481504141567,54.112162373202516,23.854253695469232,22.68867820041833,231.9490375004482,126.88742346618618,135.48022334875216,21.97664157810865,3.2779814594762406,19.732744110200628,47.19079252276965,22.114463602176563,232.35847530747992,53.976193266605925,52.30538271268263,22.086190966901025,228.3217025467943,25.23870159277297
4_15_6.png,197.551161117685,213.2104463613382,209.80232358003443,63.30027937806015,34.670894395365174,41.07851569116304,215.7991976275638,124.36902941005091,135.61423937939256,34.79951801240435,7.992992743821706,16.61998572945173,61.881794757153614,28.070505123171255,214.16698972228198,59.313294875374524,56.6127501877273,34.77279564253419,210.4044205841222,39.360010394261
6_10_5.png,202.06048899840434,217.41049202389917,214.49062365533564,63.73346794037227,36.08547805499828,41.80561285798461,219.66663310608504,124.63433460404117,135.44901043907774,35.91524967343931,7.283027275838934,16.92127755199006,56.242657292114885,26.697182199781267,218.33696157397446,56.007096523172244,53.889307852281114,36.13673395622663,214.7798300344234,40.31322915452154
0_20_7.png,204.30958118187033,216.79334985029402,212.77546463756812,69.14205308600249,45.55388733668353,53.13552672839613,218.58328061128444,124.44283148217872,134.14473014827166,45.585296603660666,7.83369707383041,13.662870991392667,42.750093622256884,25.87137943515132,217.38375331683878,53.680236434123195,54.07138656182466,45.588446009873984,214.16300497749927,50.269668544787905
4_5_1.png,202.13550944850832,211.12224058062608,207.42101391055292,68.41275038971446,51.42055459130932,58.11878868647494,213.27561299887049,124.95291993868331,132.5173040375789,51.33697058051327,6.61446806801717,10.255598471092139,53.72777930920109,22.434080294391855,211.8840939091186,56.38080285115724,44.968883405823,51.54516749719381,208.98358360898953,55.22022817598149
5_20_8.png,203.97387165850904,223.62716653444133,224.43810773226835,56.23324686329939,22.321724430388517,23.356392886132767,226.3206321379267,125.78932711874283,137.54348179548552,21.00323098606307,5.714580588280026,21.85818400278928,60.26118867209911,27.420224312428285,225.99353563808808,58.88753939764994,56.86884645773418,21.824955486838956,221.62653414999284,24.388432059619046
7_10_7.png,207.67265944357788,223.86546660974255,221.25624142776462,64.26002669129717,33.66813411376896,38.869978389236465,225.63180932435097,124.70790416128801,135.81761073311102,33.33289769977761,7.341999301382327,17.788242983469594,47.24476449324082,26.46941275145224,224.5878812683771,54.758436253632134,56.013118559549696,33.59726904715734,221.23188294472533,38.10105323306527
1_20_2.png,211.815669598035,220.9573409149993,218.05796349460343,59.218255700137476,39.344324794799945,45.63828597071782,223.01038254580823,125.38787006284065,132.5050429956433,39.068980971282066,6.7596153237273935,11.738613186856014,49.687184340038726,18.7481278910284,221.6748865999713,58.33973945885919,44.545664035449526,39.333763483894465,219.0444715805185,43.262921920024745
7_10_2.png,204.6891519762084,219.93634594180293,217.6751211878765,61.1038567614558,31.927712162027774,36.49587831092728,222.2468881665053,124.95702603942556,135.40679083521587,31.561664590905536,6.958902009359751,17.275456111302443,55.55948823194564,25.338394818111734,220.824474348286,56.78480383030721,53.672774531033944,31.901137448972868,217.51317014710628,35.98851813749845
6_5_4.png,212.79498675505593,219.99044879293962,217.18640802047474,58.64661223507026,42.80068363879236,48.75936026046443,222.05651461874282,125.65888363722748,131.5704745320568,42.51753957974772,6.063886327912893,9.668545944348745,51.560368482860014,16.568741539819996,220.73015600347819,57.87264706045333,39.01254888615314,42.81478589131853,218.326338277216,46.22423957000401
1_5_3.png,195.42761811755952,206.96957091759896,202.48618878415448,72.28353685142318,53.27757323750622,60.689207692351815,209.09640038950445,124.22919126281913,133.77332482833117,53.27097961526735,7.317407945998241,11.423206660341895,51.10946912650602,26.92000076197648,207.67952782110586,55.48384103947895,48.78513286886019,53.44313888290053,204.30459292527252,57.488498883047484
6_15_10.png,203.17815273370266,222.51755638625932,222.95069250215147,57.30039241414558,24.616237722354985,26.21170529979558,225.20837165626793,125.67856291236374,137.37522248592586,23.300091048042738,6.03007946367151,21.579361284087177,59.254779385398734,27.462824624390418,224.8609372198616,58.29217898141969,57.3678727547095,24.04335409765126,220.43808162336848,26.81453055812531
1_20_4.png,203.79897357286288,216.0134799801886,211.88006254930437,70.37450535121081,47.69739556136887,55.37139125788974,217.7620547480099,124.41469819008175,134.02618184792743,47.60900702100537,7.779226124904418,13.270586844736613,42.05605009323006,25.877784295664803,216.56388562060744,54.0224873295683,53.63347374998855,47.72350951164415,213.38276263536287,52.35126990407386
0_15_5.png,192.0283102835449,201.16296777511832,197.67121034360656,64.72563198244544,47.77636606250188,54.618547427527645,204.3614352499283,124.95460738041452,132.65105399275674,47.955527930287325,6.715394288147614,10.202615154530921,74.58285468884466,23.389790467674267,202.42893717728055,58.93483210305983,43.51192681584382,48.152522824176955,199.06666526597462,51.596536272667066
4_10_3.png,195.04377941453313,208.11011613417958,203.51588334364243,69.60835891108533,47.664651749491156,55.32537942556457,210.38516454209696,124.0363780456648,134.46560292509324,47.8454543496049,7.871045250527796,13.140078539383262,56.25907362709768,28.21211144802424,208.9287514455142,56.52538646736487,52.07722870341632,47.813781274718224,205.23818286539014,52.208546016795566
2_20_1.png,206.18519653390348,217.13185369827525,213.66946037498207,64.34012346812555,43.26622849265637,50.103871841971575,219.17500481838067,124.87819122472031,133.39956500107573,43.0339469000873,7.302571197733738,12.645389554527691,49.89176023289587,22.27027456925918,217.83713156196214,58.72083287930686,47.955940276674376,43.291525142628494,214.84969834695926,47.45476224576585
7_15_10.png,207.20482454371054,226.52594978126794,228.31176256364745,55.976371789264675,21.40995385400043,21.15462788162131,229.16706278237953,126.25238952461632,137.48349923130021,19.742048586384026,4.899929675196587,22.095590106145362,58.36604319061962,27.139259717441192,229.66278484473608,57.19033524995237,57.25101927180492,19.953333898175615,224.8480500125502,22.99460647145351
