Filename,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_energy,GLCM_correlation,GLCM_ASM,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
6_5_7.png,34.30463633,1.787049873,0.707673803,0.342359482,0.992195341,0.117210015,399663,836977,287514,1120059,978930,1725625,889851,1137362,8840329,1632010
8_5_4.png,25.44703405,1.578788086,0.692465341,0.277846025,0.99368693,0.077198414,436784,928551,299763,1217547,973142,1887698,986089,1265250,8005696,1847800
4_15_7.png,26.1486601,1.805126755,0.642653175,0.220085513,0.990437996,0.048437633,523119,1047505,371637,1314857,1123670,1962416,1112002,1373990,6952982,2066142
8_5_3.png,30.03887325,1.847390248,0.675074488,0.307202953,0.994433106,0.094373655,444426,889989,343820,1195709,1130938,1789622,968484,1178096,8161244,1745992
7_10_2.png,17.72002349,1.423082476,0.690282729,0.279625301,0.993215001,0.078190309,432190,917549,313948,1227567,1007361,1890517,993458,1250802,7998524,1816404
5_5_1.png,35.23901066,2.131390104,0.624789094,0.196614352,0.993694069,0.038657204,507843,1031013,385217,1390829,1300462,2109644,1126032,1379267,6598557,2019456
8_10_5.png,19.42153853,1.443929782,0.686077393,0.306207693,0.992209894,0.093763151,446762,905067,335666,1181107,1039246,1777220,982129,1204219,8188532,1788372
2_5_9.png,26.91955947,1.724358098,0.668559189,0.249636504,0.993903214,0.062318384,469935,978675,333048,1264654,1070920,1925967,1048197,1314168,7509735,1933021
6_5_9.png,22.95251067,1.536550204,0.692316893,0.266951956,0.993006158,0.071263347,437290,942602,297859,1232551,938528,1919534,994100,1292748,7922220,1870888
2_10_5.png,25.93646838,1.742549586,0.662641848,0.270013853,0.995355468,0.072907481,468116,951406,356059,1248027,1168538,1865576,1041692,1252803,7619964,1876139
4_10_1.png,23.42106822,1.654317456,0.679523116,0.322640923,0.995225756,0.104097165,453884,897040,349295,1156681,1080323,1698450,978822,1164640,8295946,1773239
2_15_5.png,37.50216725,2.190860039,0.621474345,0.215510616,0.992735896,0.046444825,542381,1059029,396878,1326300,1281349,1953711,1126852,1352003,6737865,2071952
2_10_4.png,23.51021058,1.563913933,0.694798843,0.310692309,0.995293207,0.096529711,423873,886943,308465,1173510,1027388,1782754,970954,1194239,8318522,1761672
0_15_3.png,31.99796653,2.01606588,0.625696051,0.200962772,0.993107599,0.040386036,533464,1066767,387312,1360615,1261969,2022947,1145163,1385739,6585496,2098848
8_10_1.png,15.75483898,1.355834955,0.707067567,0.380371041,0.994459136,0.144682128,417324,818418,325259,1063969,994925,1564274,900663,1066430,9083081,1613977
8_10_10.png,20.64423835,1.579825979,0.683009956,0.312049956,0.991119461,0.097375175,445983,903561,332713,1173810,1039082,1759685,974344,1194828,8258611,1765703
7_15_3.png,12.4109213,1.188933324,0.707275038,0.295778661,0.990540353,0.087485016,416530,897377,292562,1186355,925407,1833068,961640,1237748,8313770,1783863
0_5_9.png,31.18887414,1.976123189,0.648784236,0.269714324,0.993848637,0.072745816,488879,963792,371056,1256889,1202614,1856805,1050105,1257644,7514570,1885966
8_10_9.png,15.04149174,1.209674935,0.738849809,0.422042274,0.992295438,0.178119681,367311,749065,280834,987919,863651,1482634,818553,1000361,9819857,1478135
4_15_2.png,13.82998469,1.291487707,0.69359432,0.316683479,0.995762498,0.100288426,450352,916867,331356,1147895,970080,1700327,994689,1198616,8306380,1831758
0_15_4.png,27.19236246,1.909544414,0.630068032,0.209189751,0.994911525,0.043760352,530342,1053928,390933,1341468,1221385,2002138,1129706,1372204,6725580,2080636
6_20_8.png,10.72744869,1.105964635,0.71589229,0.317137664,0.989723245,0.100576298,404139,876037,285343,1157346,888441,1770556,935374,1208663,8572331,1750090
6_10_2.png,20.44190696,1.513873191,0.691365567,0.316909669,0.993816298,0.100431738,433570,887910,321153,1164551,1021578,1764425,962375,1180340,8363083,1749335
3_15_9.png,25.21156971,1.861900577,0.638973571,0.237898313,0.993990151,0.056595607,509431,1005180,386845,1307376,1218282,1935132,1093370,1309206,7106337,1977161
7_5_10.png,29.60725651,1.678479632,0.712106648,0.351953435,0.992584035,0.123871221,396882,825093,288677,1099675,949745,1679531,885698,1127596,8976561,1618862
6_15_9.png,10.41787339,1.144536714,0.716506891,0.339958067,0.992758606,0.115571487,402043,840285,297213,1120649,924115,1709221,914156,1146806,8823753,1670079
1_10_3.png,32.37498588,1.989400712,0.660898186,0.340796608,0.995275786,0.116142328,468266,875336,376870,1140508,1261858,1642991,955715,1100393,8322675,1703708
6_5_8.png,37.38673301,1.981957807,0.680261515,0.303255426,0.990743614,0.091963853,448056,908188,325454,1185781,1045599,1787794,960824,1210039,8205943,1770642
1_15_9.png,24.84266839,1.655479314,0.69814673,0.365918972,0.995573505,0.133896694,408128,812991,319711,1097958,1086303,1649315,900174,1070984,8907502,1595254
0_5_6.png,35.00334468,2.058587501,0.642790719,0.281054192,0.994304318,0.078991459,508301,972657,389409,1223233,1248240,1773189,1050274,1232706,7542447,1907864
0_20_1.png,28.39094264,1.707159558,0.691452576,0.346847359,0.994767304,0.120303091,426588,850683,329773,1117999,1088647,1659453,931698,1119895,8647694,1675890
4_20_1.png,16.7302436,1.353995328,0.704072654,0.347666252,0.993638179,0.120871823,425651,863727,320036,1099552,970013,1630993,941204,1138208,8745784,1713152
0_15_1.png,32.70710548,2.102808084,0.625448264,0.25180946,0.994787603,0.063408004,522365,990987,414693,1296359,1339680,1888575,1075526,1264435,7124784,1930916
6_15_2.png,11.73710149,1.223282713,0.6921801,0.288793953,0.993965467,0.083401947,454182,934578,322958,1190000,952685,1807872,1003123,1257086,8059878,1865958
0_20_9.png,36.62615076,2.035598055,0.671314043,0.353470513,0.993324723,0.124941404,452632,859024,355926,1122982,1194111,1635175,932122,1084947,8547063,1664338
3_20_6.png,20.66230329,1.555963066,0.669536508,0.27515754,0.992603227,0.075711672,484183,974046,355493,1220332,1047360,1804185,1048373,1273098,7711264,1929986
5_20_6.png,12.95943709,1.205144745,0.718154935,0.346990827,0.991742095,0.120402634,405228,844654,290620,1097459,896749,1665797,901366,1145790,8922315,1678342
2_20_1.png,29.41318449,1.681571231,0.700950618,0.367625946,0.993512009,0.135148836,422159,836716,317434,1073847,1023114,1598594,905475,1087740,8943518,1639723
4_10_4.png,28.73007974,2.17955922,0.550717598,0.074553507,0.990666593,0.005558225,673018,1342784,466846,1648304,1359209,2459471,1412278,1739975,4085428,2661007
5_10_6.png,31.98872552,1.723659369,0.713123528,0.371069954,0.990804745,0.137692911,400818,825381,289094,1061040,954988,1601485,879756,1088933,9141010,1605815
7_10_4.png,17.66706191,1.353829557,0.71426516,0.348409066,0.994360557,0.121388877,396711,831928,293564,1108156,944121,1693961,908130,1126004,8900318,1645427
