Filename,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_energy,GLCM_correlation,GLCM_ASM,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,HOG_0,HOG_1,HOG_2,HOG_3,HOG_4,HOG_5,HOG_6,HOG_7,HOG_8,HOG_9
4_15_6.png,32.84579036799254,1.9668759639180804,0.6400061121294531,0.21605858602714145,0.9894647826020134,0.046681312596047686,505397.0,1042219.0,368131.0,1339122.0,1194812.0,1993023.0,1117973.0,1369627.0,6875606.0,2042410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_15_9.png,13.916649443169183,1.4155161669237115,0.66934989993912,0.2642023313110324,0.9934333810511458,0.06980287187018452,455939.0,940644.0,354835.0,1272339.0,1117619.0,1918367.0,1053061.0,1267618.0,7606516.0,1861382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_15_6.png,35.878114015817225,1.974646264481188,0.6630844585111888,0.2691794790032506,0.990954107722137,0.07245759191646145,473258.0,966057.0,342117.0,1241067.0,1122797.0,1862483.0,1031457.0,1272682.0,7650056.0,1886346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_20_7.png,26.961785243535022,1.627416296043901,0.7047571331078073,0.3589791793698442,0.9935316039808229,0.12886605122104677,416101.0,845777.0,305474.0,1081109.0,986575.0,1621257.0,913321.0,1117310.0,8899412.0,1661984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_20_4.png,32.54949046841935,1.8969736334779956,0.6766788986279538,0.36046091825629056,0.9947242901792066,0.1299320735901682,443552.0,854267.0,361552.0,1115039.0,1175688.0,1600511.0,938464.0,1079970.0,8617268.0,1662009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_10_6.png,36.474134715397575,1.8070494915892545,0.7144461521198613,0.36774050274538067,0.9914272471877705,0.13523307735942533,394211.0,817217.0,282452.0,1065944.0,952320.0,1634046.0,874045.0,1098344.0,9138315.0,1591426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_20_2.png,22.768756949176858,1.4549761710483842,0.7208674759889016,0.36775415891878316,0.9939602841334336,0.13524312140206163,390147.0,814887.0,279200.0,1070082.0,933633.0,1645555.0,883034.0,1094951.0,9127675.0,1609156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_20_6.png,9.413361137513002,1.0056889100104012,0.7396825640412532,0.35555177873080696,0.992725748249224,0.12641706735864072,377511.0,821816.0,258003.0,1075921.0,783057.0,1670050.0,869194.0,1146936.0,9202765.0,1643067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_15_10.png,32.86004727681934,1.9379559556687354,0.6535427651897908,0.25505980827107766,0.9884333838017315,0.0650555057952789,481304.0,985751.0,360134.0,1271494.0,1162930.0,1891640.0,1059187.0,1294423.0,7419159.0,1922298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_5_7.png,31.138377725870665,1.6651783472615762,0.7254101686683887,0.3795905600188815,0.9929014589735671,0.14408899325544805,363781.0,771087.0,271221.0,1060615.0,946239.0,1646489.0,835221.0,1064076.0,9384956.0,1504635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_15_4.png,8.885920071016105,1.0046226596965677,0.7413001209007507,0.3894438493672242,0.9929903316257301,0.1516665118099612,379623.0,793195.0,269108.0,1016885.0,805099.0,1553406.0,847619.0,1077571.0,9524599.0,1581215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_10_7.png,25.093758406262328,1.6037151196155088,0.6988287600117832,0.3298477940509506,0.9924482049050036,0.10879956724027834,419898.0,863874.0,305355.0,1142003.0,1004396.0,1739046.0,926666.0,1160212.0,8595170.0,1691700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_10_6.png,21.592103157167962,1.3923643117176572,0.7498686819139795,0.4769836431716007,0.9914644551891129,0.2275133958532529,348982.0,694157.0,263577.0,892726.0,855231.0,1325573.0,747782.0,901150.0,10477946.0,1341196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_5_6.png,23.59330413184606,1.5420675146156881,0.7052415145044738,0.33333570095948056,0.9939624395844169,0.11111268953414827,413851.0,857121.0,300063.0,1126195.0,960298.0,1713553.0,915943.0,1159495.0,8707865.0,1693936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_15_7.png,12.17782102955418,1.144439425594491,0.7319648053642133,0.3739044996848924,0.9912412471513764,0.1398045748846097,382968.0,802830.0,273040.0,1052244.0,863851.0,1610244.0,852392.0,1095313.0,9329717.0,1585721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
