Trt,Code,Day,Leave,Total area (cm2),Yellowing area (cm2),Green area (cm2),Yellowing area (%),Green area (%),R,G,B,Var_R,Var_G,Var_B,X,Y,Z,L*,a*,b*,,L*0,a*0,b*0,TCD,Grayscale,,Day,Yellowing area (%),Green area (%),TCD,Grayscale
,,Day 3,1,154.668,14.894,139.774,9.63,90.37,161.842,173.442,139.218,36.05,42.03,25.91,34.56,39.59,30.33,29.93,-15.73,22.69,,25.43,-13.06,17.59,7.312,158.173,,,,,,
,,,2,246.67,0,246.67,0,100,150.532,162.744,131.04,30.74,36.5,22.71,29.82,34.28,26.53,23.76,-14.17,19.14,,19.24,-13.84,18.17,4.64,148.131,,,,,,
,,,3,173.288,0,173.288,0,100,145.933,156.269,126.638,28.72,33.37,21.09,27.57,31.5,24.58,20.53,-12.09,17.21,,20.34,-11.07,15.61,1.908,142.972,,,,,,
,,Day 4,1,154.668,78.631,76.037,50.84,49.16,161.815,175.348,128.221,36.04,43.06,21.67,34.16,40.02,26.42,30.43,-19.99,30.83,,25.43,-13.06,17.59,15.765,161.107,,,,,,
,,,2,246.67,95.404,151.266,38.68,61.32,155.407,167.593,134.464,32.97,38.95,24.02,31.85,36.6,28.11,26.45,-15.06,20.84,,19.24,-13.84,18.17,7.792,152.508,,,,,,
,,,3,173.288,49.75,123.538,28.71,71.29,156.649,166.251,136.086,33.55,38.26,24.65,31.96,36.28,28.64,26.08,-12.88,19.21,,20.34,-11.07,15.61,7.017,153.022,,,,,,
,,Day 5,1,154.668,100.589,54.079,65.04,34.96,179.032,189.422,140.374,45.1,51.14,26.38,41.63,48.07,32.04,39.76,-20.83,36.46,,25.43,-13.06,17.59,24.942,169.601,,,,,,
,,,2,246.67,121.826,124.844,49.39,50.61,157.56,170.687,131.255,33.98,40.56,22.79,32.62,37.88,27.15,27.94,-17.39,25.18,,19.24,-13.84,18.17,11.721,153.194,,,,,,
,,,3,173.288,99.248,74.04,57.27,42.73,162.856,173.099,135.055,36.55,41.84,24.25,34.4,39.45,28.74,29.76,-15.84,25.36,,20.34,-11.07,15.61,14.377,157.04,,,,,,
,,Day 6,1,154.668,142.844,11.824,92.36,7.64,191.489,198.561,141.75,52.4,56.83,26.95,46.78,53.73,33.4,46.33,-22,45.26,,25.43,-13.06,17.59,35.811,177.248,,,,,,
,,,2,246.67,170.54,76.13,69.14,30.86,165.401,178.074,136.36,37.83,44.56,24.76,35.99,41.7,29.58,32.37,-18.72,28.31,,19.24,-13.84,18.17,17.296,159.959,,,,,,
,,,3,173.288,122.894,50.394,70.92,29.08,167.817,177.234,132.113,39.06,44.1,23.12,36.04,41.51,27.98,32.15,-17.54,30.9,,20.34,-11.07,15.61,20.381,159.079,,,,,,
15C,10_1,Day 0,1,262.946,0,262.946,0,100,156.123,169.295,129.78,33.3,39.83,22.24,31.98,37.17,26.53,27.12,-17.23,24.93,,,,,,151.73,,0,0,100,,147.03
,,,2,191.097,0,191.097,0,100,159.015,172.335,130.723,34.68,41.43,22.59,33.18,38.64,27.08,28.82,-18.21,26.83,,,,,,154.054,,1,0,100,4.1,154.65
,,,3,242.626,0,242.626,0,100,140.179,151.407,114.229,26.3,31.13,16.9,25.02,29.08,20.28,17.73,-13.46,20.38,,,,,,135.304,,2,10.42,89.58,4.31,154.39
,,Day 1,1,262.946,0,262.946,0,100,161.909,170.962,130.328,36.09,40.7,22.45,33.48,38.4,26.88,28.55,-15.5,26.74,,27.12,-17.23,24.93,2.882,156.905,,3,24.85,75.15,6.79,152.35
