Feature Set,MSE,R2 Score
L a S V R B,84.15764094,0.67685308
b H Day,84.12752155,0.676968732
L a S B,84.10475714,0.677056142
L a H S V R,84.09023541,0.677111902
R G Day,84.04646783,0.67727996
L a H R B,84.03415336,0.677327245
L a b V R,84.03334444,0.677330351
L a b H S R G B,83.9670318,0.677584977
L V Day,83.95072352,0.677647597
S R B,83.95002566,0.677650277
a V R G B,83.94727328,0.677660845
L Day,83.93191441,0.67771982
L a H V B,83.86216937,0.677987626
a b V R G,83.85219052,0.678025942
a b H Day,83.8476285,0.67804346
L a b H V G,83.83753644,0.678082211
a H S G B,83.81484983,0.678169323
b H R G B,83.81061945,0.678185566
L a b H,83.80320525,0.678214035
a b H S V G,83.79559801,0.678243245
b S,83.78676228,0.678277173
a V B,83.77607656,0.678318203
L a S V B,83.71672913,0.678546085
L a S,83.67603492,0.678702341
a S V R,83.66985146,0.678726085
L a b H V,83.63619009,0.678855337
a b V,83.59814117,0.679001436
b H V R G B,83.53390857,0.679248076
L V R Day,83.47308896,0.679481609
L a S R G,83.39805079,0.67976974
a b S V B,83.37463423,0.679859654
L a b V G,83.34544266,0.679971743
L G Day,83.3416476,0.679986316
a b H V R,83.31438757,0.680090988
S V B,83.27695626,0.680234716
L a b H V R G,83.26987924,0.68026189
L H Day,83.2585563,0.680305368
L a H S R G B,83.18672697,0.680581177
L a b R G,83.18295682,0.680595653
R Day,83.18112942,0.68060267
L H V G B,83.17580469,0.680623116
a b B,83.14765481,0.680731205
a b H V R G,83.11364791,0.680861784
L a S G B,83.11330854,0.680863088
a b H B,83.07295337,0.681018043
L a S R,83.02974106,0.681183968
L a b H V G B,83.00312696,0.681286161
L a H S R B,82.99284154,0.681325654
a b V G B,82.98995407,0.681336742
L b R G,82.97948916,0.681376925
L a H S V R B,82.95875983,0.681456521
H S V G B,82.9562475,0.681466168
a b S R B,82.95590388,0.681467487
b H V G B,82.93587544,0.681544392
a S V R B,82.93305433,0.681555224
H V G Day,82.90760886,0.681652929
a S R G,82.89874158,0.681686978
a b S V R G B,82.87188031,0.681790119
L a b R B,82.86076249,0.681832809
a b R B,82.84745838,0.681883894
a b H V R G B,82.79998395,0.682066185
a S G,82.78927013,0.682107324
a b H S R B,82.76819874,0.682188234
L a S V G B,82.76562061,0.682198133
a S V,82.75559231,0.68223664
S V G B,82.75197831,0.682250517
L a b S R B,82.73873497,0.682301368
b H R G,82.71809701,0.682380613
a b S V G B,82.7138646,0.682396865
L a b H R,82.67100445,0.682561438
a b H S,82.66383875,0.682588953
L a b G,82.64027742,0.682679424
L a b H V B,82.62446498,0.68274014
L a b H V R B,82.58556897,0.682889492
a H S R B,82.58526583,0.682890656
H V G B,82.56693372,0.682961047
L b H S B,82.54895428,0.683030084
b S R B,82.54370409,0.683050244
L b V R G,82.51833387,0.68314766
L b H V R,82.47182238,0.683326254
L H V R G B,82.44192199,0.683441065
L a b H R B,82.43197631,0.683479254
a b S V R B,82.4119013,0.683556338
L a H S V G,82.3929501,0.683629106
L a b H G,82.3842301,0.683662589
a b S B,82.37508874,0.68369769
L a b,82.32805477,0.68387829
L a b S V R,82.30327168,0.683973452
a S R G B,82.29637539,0.683999932
L H V R Day,82.26605685,0.684116349
H S V R G B,82.25396303,0.684162786
V G Day,82.25029946,0.684176854
a H R B,82.23789985,0.684224465
b V R G B,82.22966742,0.684256076
b H S R G B,82.15601422,0.684538888
a H S V,82.15274908,0.684551426
L a b V B,82.15212773,0.684553811
L V R G Day,82.13578954,0.684616547
L b H V R G B,82.12389837,0.684662206
b H S R B,82.0928434,0.68478145
L a H S R,82.06664623,0.684882042
L H V G Day,82.03392987,0.685007665
a H S V G B,82.02437502,0.685044354
a b H V G,81.98410006,0.685199001
a b H R,81.9675231,0.685262653
L a b V G B,81.94511829,0.685348682
L b H G B,81.93397153,0.685391484
L a H S V R G B,81.88840176,0.685566461
b S B,81.88832203,0.685566768
a S V G,81.88033346,0.685597442
L a b S V B,81.87324898,0.685624645
L b H S V R B,81.86866055,0.685642263
b H V B,81.84593904,0.685729509
L S R B,81.84502735,0.68573301
b H B,81.79862364,0.68591119
L a S V R,81.76657328,0.686034256
L a H S V G B,81.71839008,0.686219269
a b V R B,81.68900662,0.686332095
b H S B,81.68572487,0.686344696
L a b S V G,81.66041922,0.686441865
L V G Day,81.65969307,0.686444653
a H S R G,81.65577712,0.686459689
a H S V R G B,81.62725598,0.686569204
L b H V G B,81.59125409,0.686707443
a b V G,81.58372174,0.686736366
b S V R B,81.55575891,0.686843737
L a b S V G B,81.55563335,0.686844219
L S V R G B,81.50450451,0.687040543
L b R B,81.49557859,0.687074816
L b V R B,81.49048778,0.687094364
a H S B Day,81.46779154,0.687181513
a b H S G B,81.45320752,0.687237512
a b H S V G B,81.44517324,0.687268362
L a H S,81.42240428,0.68735579
a b H S B,81.41527578,0.687383162
L a b H G B,81.36000773,0.687595379
L a b R G B,81.35887722,0.68759972
a H S R,81.33858061,0.687677654
L H R Day,81.32506686,0.687729544
L a S V R G,81.30948406,0.687789379
L H R G Day,81.28032325,0.68790135
H V Day,81.2622911,0.687970589
L a b V R B,81.25541272,0.687997001
L b H V R B,81.25428305,0.688001339
L a b B,81.23944927,0.688058297
a S V B,81.23577074,0.688072422
L a b G B,81.22861434,0.688099901
L b V G B,81.18993526,0.68824842
L b H R G,81.18686085,0.688260225
a b H S R G B,81.18627955,0.688262457
L b S G B,81.1851352,0.688266851
S G B,81.16075035,0.688360484
L S V R B,81.15534185,0.688381251
a H S G,81.15319551,0.688389493
L a b S V,81.14504329,0.688420795
a S V R G,81.10247159,0.688584261
L a b S R G,81.09119056,0.688627578
S R G B,81.08579962,0.688648278
b R G,81.06419584,0.688731232
L b H S R G B,81.03974809,0.688825106
a b H G B,80.9980761,0.688985117
b H S V R G,80.98716793,0.689027002
L b V G,80.98716444,0.689027016
L a H S B,80.98330553,0.689041833
L a H S R G,80.96779298,0.689101398
a S R,80.94367746,0.689193996
L a b S V R G B,80.9325258,0.689236816
H S R G B,80.8933609,0.689387201
a H S V R B,80.86130258,0.689510298
a b S V,80.85306409,0.689541932
a b S V R,80.84426186,0.68957573
a b S R,80.82425151,0.689652566
S V,80.81808598,0.68967624
L R G Day,80.78507081,0.689803011
a b V B,80.77440721,0.689843957
L b H S V G B,80.77367118,0.689846783
a b S R G B,80.71747167,0.690062577
a H S V R G,80.6591865,0.690286379
L H S R G,80.63937202,0.690362462
L a b H S V R G B,80.6145446,0.690457794
L H S G B,80.59934557,0.690516155
b H R,80.580312,0.69058924
L b H V R G,80.56288277,0.690656164
L a S V G,80.54288978,0.690732933
L a H S G B,80.49400859,0.690920626
L S B,80.48302301,0.690962808
V R Day,80.47814694,0.690981531
L b R G B,80.46495397,0.691032189
H S V R B,80.4583102,0.6910577
L S R G B,80.45023915,0.691088691
L b H R B,80.42431244,0.691188244
b V G B,80.40918971,0.691246312
b R G B,80.40088443,0.691278202
b H R B,80.40013039,0.691281098
L a b H S V G B,80.38511311,0.691338761
L H S R G B,80.38487561,0.691339673
H S G B,80.3842535,0.691342062
S V R G B,80.37817481,0.691365402
L a b S B,80.37642784,0.69137211
L b V,80.34544042,0.691491095
L H S V B,80.32812954,0.691557565
b S V B,80.30472804,0.691647422
L b H R,80.29281066,0.691693182
b R B,80.22642696,0.691948081
L b S V R G B,80.22540346,0.691952011
L S V R G,80.2223973,0.691963554
L b H S G B,80.21599384,0.691988142
L a H S V R G,80.21233187,0.692002203
a b S G,80.20351746,0.692036048
L R Day,80.1969105,0.692061418
L a H S G,80.19554957,0.692066643
L b H V G,80.17460504,0.692147066
a H S V G,80.172257,0.692156082
L S G B,80.16560437,0.692181626
b G B,80.15012794,0.692241052
S V R,80.14649432,0.692255005
S V R B,80.14330742,0.692267242
L a b H S V B,80.14246919,0.69227046
b V R G,80.13546784,0.692297344
L H S R B,80.12886621,0.692322693
b H V R G,80.12731905,0.692328634
L a S V R G B,80.11609057,0.692371749
b V R B,80.10038793,0.692432043
L H S B,80.09253012,0.692462215
L b H S V R G B,80.07617572,0.692525013
L a b S G,80.05902471,0.692590869
a V B Day,80.05760162,0.692596333
L H S V R B,80.02557857,0.692719295
a b H G,80.02419574,0.692724605
L S R,80.01874815,0.692745522
L b V B,80.01388117,0.69276421
L b V R,80.01131955,0.692774046
L b S R B,79.98034396,0.692892986
L H S V R,79.97360569,0.692918859
L S V R,79.97239806,0.692923496
L a b H S R B,79.95619755,0.692985703
L b B,79.9484828,0.693015326
b V B,79.91904509,0.69312836
L S,79.91071246,0.693160356
b S R G B,79.85993829,0.693355317
L a H S V B,79.81133859,0.693541929
a b S V G,79.80204577,0.693577612
a b G B,79.79669885,0.693598143
L b H B,79.74437966,0.693799037
L H S V G B,79.67322865,0.694072241
L b S B,79.66984605,0.69408523
