Feature Set,MSE,R2 Score
L b H R G B Day,72.7866385,0.72051524
V R B Day,72.74970841,0.720657044
L H S V G B Day,72.74358964,0.720680538
L S R B Day,72.73933671,0.720696869
b G Day,72.73903415,0.72069803
H R G B Day,72.73157019,0.72072669
b H R B Day,72.72895135,0.720736746
b S V G B Day,72.72727571,0.72074318
L a b R G B Day,72.69021026,0.720885503
a b S V R Day,72.6744982,0.720945834
L b G Day,72.66082225,0.720998347
L S R G B Day,72.65641353,0.721015276
b H V R G B Day,72.64559022,0.721056835
L a b V Day,72.60784076,0.721201784
L a V R B Day,72.6041802,0.72121584
L H V G B Day,72.58479547,0.721290273
b H R G Day,72.55063025,0.72142146
L a G Day,72.54341375,0.72144917
a b G B Day,72.5091812,0.721580615
b H R Day,72.44567192,0.721824477
V R G B Day,72.43633058,0.721860346
L b H R G Day,72.32549619,0.722285926
L a S R B Day,72.32274109,0.722296505
a b H S V R G B Day,72.29165179,0.722415881
S R G B Day,72.29124967,0.722417425
b V R B Day,72.26324088,0.722524972
L a b B Day,72.24595206,0.722591358
L a b H G Day,72.24241034,0.722604957
L S V R B Day,72.23911679,0.722617604
a V G B Day,72.2019672,0.72276025
L a H S V R B Day,72.18473589,0.722826414
L b G B Day,72.16129874,0.722916408
b H V G B Day,72.15588825,0.722937183
a b V B Day,72.15139312,0.722954443
b H V R Day,72.12821767,0.723043432
a b H V B Day,72.09702441,0.723163207
L a b R G Day,72.09392661,0.723175102
L a S V R B Day,72.03265459,0.723410373
S V R G B Day,72.00025696,0.723534773
a b S R Day,71.9725773,0.723641057
L a S V R G Day,71.96773397,0.723659654
S G B Day,71.95153169,0.723721868
S V B Day,71.9135288,0.72386779
L a b S R Day,71.88410535,0.72398077
L b V R G Day,71.86599174,0.724050322
L R B Day,71.85545169,0.724090794
a b S G Day,71.84611905,0.724126629
L a S G Day,71.83797088,0.724157916
a H S V R G Day,71.82587837,0.724204349
b S V Day,71.79229308,0.724333309
L b R Day,71.75603173,0.724472545
L b V R G B Day,71.71781749,0.724619279
L a b S B Day,71.71661542,0.724623895
L a b S V R B Day,71.69584329,0.724703655
L a H S V R G B Day,71.68891819,0.724730246
L b H S R Day,71.6707805,0.724799891
L a H S R G Day,71.66913727,0.7248062
a H S G Day,71.66655023,0.724816134
L a H S V G B Day,71.64157649,0.724912028
a b S V G B Day,71.58910111,0.725113522
a H S V R G B Day,71.58463023,0.725130689
L b H R Day,71.534889,0.725321684
L S V G B Day,71.53351657,0.725326954
a b H S V G Day,71.53185778,0.725333323
a b V R G B Day,71.52210711,0.725370764
a H S R G B Day,71.51932467,0.725381448
a H S V R B Day,71.50182226,0.725448653
L b R G B Day,71.47753942,0.725541894
L a b H S V G B Day,71.45867828,0.725614317
a S V G B Day,71.43924963,0.725688918
H S R G B Day,71.39738204,0.725849681
L b H B Day,71.37731471,0.725926735
L a S V G Day,71.36134365,0.72598806
a b R B Day,71.35158861,0.726025518
L b H Day,71.34389264,0.726055068
a S V R Day,71.28677346,0.726274394
b V B Day,71.28438074,0.726283581
L V B Day,71.27935001,0.726302898
L a b S V R G B Day,71.26487688,0.726358472
b S V R G B Day,71.25462856,0.726397823
L a b S V G B Day,71.2452322,0.726433903
H S V R G B Day,71.23382027,0.726477722
a b H V R G B Day,71.21820413,0.726537685
b H S V G Day,71.20902478,0.726572931
L H S V R G B Day,71.20333859,0.726594765
a b H S V Day,71.20026899,0.726606552
a b V G B Day,71.19700225,0.726619095
S R Day,71.17079322,0.726719732
L b V G B Day,71.15927941,0.726763943
L a b S V B Day,71.12139718,0.726909402
H S V G B Day,71.11827705,0.726921383
a b S G B Day,71.1141471,0.726937241
L b H S V R G B Day,71.06742716,0.727116635
a b S V Day,71.063614,0.727131277
L a b V B Day,71.0562885,0.727159405
L H G B Day,71.03226805,0.727251639
L b S G B Day,71.03205699,0.727252449
L a b V G Day,71.01594991,0.727314297
L a b H S V R G B Day,70.98747806,0.727423622
a b H S B Day,70.97122526,0.72748603
a b H S V R B Day,70.92930404,0.727646998
L a S V Day,70.90674133,0.727733634
L a b H S Day,70.88827001,0.72780456
L a b S R B Day,70.87514203,0.727854968
L S V B Day,70.8659173,0.727890389
V G B Day,70.86023056,0.727912225
b B Day,70.85481247,0.727933029
a b H G B Day,70.82541637,0.728045904
L a S G B Day,70.77271969,0.728248248
b V R G B Day,70.76319284,0.728284829
a b S B Day,70.73770117,0.728382711
a b S V G Day,70.73245784,0.728402844
L H S R G B Day,70.71699065,0.728462235
L a b H S R G Day,70.71687049,0.728462696
a b H S R B Day,70.69563964,0.728544218
b G B Day,70.66509461,0.728661504
a H S V Day,70.6446023,0.72874019
L a b H S G Day,70.59060322,0.728947535
L a b H S V B Day,70.57989358,0.728988658
L S V R G B Day,70.54566927,0.729120071
H V G B Day,70.53737649,0.729151914
L a b S V R G Day,70.53664478,0.729154724
L a b H V B Day,70.51340714,0.729243951
b S Day,70.47113137,0.729406281
L a S V G B Day,70.46710937,0.729421724
L b R B Day,70.43819483,0.72953275
L a S R G Day,70.43207508,0.729556248
L b H G B Day,70.42672743,0.729576782
L a H S V G Day,70.40479175,0.72966101
L b S V R B Day,70.36689692,0.729806518
L a b H V G Day,70.35496452,0.729852336
L S R Day,70.32521128,0.729966582
L a b H S R Day,70.28573702,0.730118154
a b H S G Day,70.28080928,0.730137076
L b H V R Day,70.25626533,0.730231319
L a b H S R G B Day,70.21070366,0.730406266
a b S R B Day,70.08068245,0.730905519
L S G Day,70.07109373,0.730942338
L b S V B Day,70.05793826,0.730992852
b R G B Day,70.03339166,0.731087105
a H S V G B Day,70.00227755,0.731206577
S V R Day,69.99998287,0.731215388
L a b H B Day,69.99360296,0.731239885
L S B Day,69.9924676,0.731244245
H S V R B Day,69.86698411,0.731726074
L b S B Day,69.82962269,0.731869534
L b Day,69.82032806,0.731905223
a S V R B Day,69.76858948,0.732103888
L a H S V R G Day,69.73423901,0.732235786
a b S V R G Day,69.72524579,0.732270318
L a b S R G Day,69.71803984,0.732297987
a b S V B Day,69.68608963,0.732420669
b V G B Day,69.68572229,0.73242208
b H S V R G Day,69.6787898,0.732448699
L S Day,69.65237418,0.732550129
a H S V G Day,69.63056766,0.732633861
a H S R Day,69.58886916,0.732793974
S R G Day,69.57462541,0.732848667
a b S R G B Day,69.56747685,0.732876116
L b S R G B Day,69.52004989,0.733058225
L a H S V Day,69.47728005,0.733222452
a b H S V B Day,69.39926351,0.733522019
L H S V R G Day,69.39537067,0.733536966
a b H S V R G Day,69.32170727,0.733819818
L a b S V G Day,69.3035861,0.733889399
b S G B Day,69.29996029,0.733903321
a b S R G Day,69.28469159,0.73396195
b S R B Day,69.28373025,0.733965641
L S G B Day,69.27662418,0.733992927
L a S V B Day,69.27376253,0.734003915
L a b S G Day,69.23525544,0.734151774
L b H S G B Day,69.21979003,0.734211158
b H V R B Day,69.16986861,0.734402845
H S R Day,69.0726215,0.734776252
S V R G Day,68.97102183,0.735166373
a H S V B Day,68.92941323,0.735326141
L S V R G Day,68.91567601,0.735378889
L a H S V R Day,68.82134522,0.735741098
L H S R G Day,68.81036998,0.735783241
b S V R B Day,68.67538503,0.736301554
S V Day,68.59158815,0.736623315
b S R G B Day,68.51202129,0.736928835
a b H S V G B Day,68.48884961,0.737017809
b H S R Day,68.36823686,0.737480935
b H S V G B Day,68.26269602,0.737886189
L b H S V G Day,68.20904598,0.738092193
L a b H S B Day,68.20474687,0.738108701
L H S V Day,68.20110877,0.738122671
a b H S R G Day,68.19860617,0.73813228
L b H S V B Day,68.15055376,0.738316791
S V G Day,68.14611051,0.738333852
L b S V Day,68.1280965,0.738403022
b S R G Day,67.95030439,0.739085705
L S R G Day,67.89141504,0.739311827
a b H S R G B Day,67.87371052,0.739379808
b H V Day,67.86539546,0.739411736
a b H S V R Day,67.85121704,0.739466178
L b S V G B Day,67.83833288,0.739515651
L b H R B Day,67.8357781,0.73952546
b H S R G B Day,67.79718003,0.739673669
b H S B Day,67.76080837,0.739813328
L b S R B Day,67.63980106,0.740277969
L a b H S V R Day,67.54110467,0.740656942
b H S V R B Day,67.48813413,0.740860337
L a b S V Day,67.46188625,0.740961123
L S V R Day,67.43394628,0.741068407
L H S V G Day,67.41216997,0.741152023
S G Day,67.35481757,0.741372244
b S V B Day,67.34459208,0.741411507
L b S V R G B Day,67.32632226,0.741481659
L a b H S V G Day,67.22187278,0.741882722
L a b H S V R G Day,67.22144039,0.741884383
L b H V Day,67.1267623,0.742247926
L b H S G Day,67.05001496,0.742542619
b S V R G Day,66.98894071,0.742777131
L a b H S V R B Day,66.89657911,0.743131779
V Day Temp,66.87438715,0.743216991
H S V R G Day,66.78151953,0.743573583
H S G Day,66.63938755,0.744119338
b H S V R G B Day,66.55940013,0.744426472
L S V G Day,66.51095077,0.744612507
L a b H S V Day,66.37385888,0.74513891
b H S V B Day,66.25760384,0.745585304
b H S R G Day,66.24749206,0.745624131
b H G Day,66.22974926,0.74569226
G Day Temp,66.21124291,0.74576332
H S V Day,65.63020877,0.747994364
L S V Day,65.62347531,0.748020219
L V G Temp,65.60813056,0.748079139
b S G Day,65.54941111,0.748304609
L H S G Day,65.48317731,0.748558932
L b H S R G B Day,65.47577023,0.748587374
L b S R G Day,65.46532843,0.748627468
L b B Day,65.42934824,0.748765624
H S R G Day,65.41885503,0.748805916
L H S V R Day,65.3472474,0.749080874
L b S V G Day,65.2638736,0.749401011
H S V R Day,65.25216234,0.749445979
L b H S Day,65.18671597,0.749697279
L b S G Day,65.1335773,0.74990132
L b H S R B Day,65.11556553,0.749970481
L b H S V R Day,65.10773699,0.750000541
V Temp,65.07464383,0.750127612
H S V G Day,64.90934927,0.750762307
b S V G Day,64.88291298,0.750863816
L H S R Day,64.84590336,0.751005925
L V R G Day Temp,64.83111601,0.751062705
b S V R Day,64.75406539,0.751358563
L b H S B Day,64.67730184,0.751653318
L V Day Temp,64.65239406,0.751748958
L b H S V R G Day,64.30624365,0.7530781
L H S Day,64.30076932,0.75309912
L b S Day,64.29987976,0.753102536
L b S V R Day,64.10200782,0.753862321
L b S V R G Day,63.98013534,0.754330285
V G Temp,63.89443352,0.754659361
L V R Day Temp,63.80340286,0.755008899
V R G Temp,63.78045403,0.755097017
L b H S V Day,63.77265459,0.755126965
H G Day Temp,63.77235188,0.755128128
G Temp,63.76642279,0.755150894
b H S V Day,63.49986645,0.756174412
L H V Day Temp,63.49585915,0.756189799
H V G Day Temp,63.4060304,0.756534722
b H S G Day,63.38217168,0.756626334
V G Day Temp,63.19594297,0.757341412
L G Temp,63.14645454,0.757531436
L H G Day Temp,63.07491888,0.757806118
L R G Day Temp,62.88629607,0.758530388
H V Day Temp,62.86873538,0.758597817
L V R G Temp,62.82237728,0.758775822
L H V G Temp,62.75006946,0.759053468
V R Temp,62.61600251,0.759568256
L H V Temp,62.22976702,0.761051316
H V Temp,62.20223946,0.761157016
R G Temp,62.11397502,0.761495932
L H Day Temp,62.08059163,0.761624117
L R G Temp,62.07493541,0.761645835
L H V R G Temp,62.04612738,0.761756452
H R Day Temp,62.04398672,0.761764672
H V G Temp,62.02125958,0.761851939
H V R Temp,61.92017856,0.762240068
L V Temp,61.90034325,0.762316231
L V G Day Temp,61.82409944,0.762608991
L Day Temp,61.79000061,0.762739923
L Temp,61.65638612,0.763252973
b H S Day,61.62091458,0.763389176
V R Day Temp,61.5419885,0.763692235
L b H S R G Day,61.51489459,0.76379627
V R G Day Temp,61.49035044,0.763890514
L H V G Day Temp,61.44562981,0.764062231
L G Day Temp,61.3764847,0.764327733
L H G Temp,61.23665509,0.764864648
H R G Temp,60.99778044,0.765781875
R G Day Temp,60.88960662,0.766197238
H V R G Temp,60.8235681,0.766450812
L R Temp,60.79451684,0.766562362
L H V R G Day Temp,60.71585148,0.76686442
L H R G Temp,60.5042642,0.767676869
L H V R Day Temp,60.46741836,0.767818349
L H V R Temp,60.4278011,0.767970471
H V R Day Temp,60.39674307,0.768089727
R Temp,60.28556088,0.768516642
L H R Temp,59.94912642,0.769808477
L H R Day Temp,59.88662518,0.770048468
L V R Temp,59.87139288,0.770106956
R Day Temp,59.80335767,0.770368197
L R Day Temp,59.61061043,0.771108304
H R G Day Temp,59.33216046,0.772177491
L H R G Day Temp,59.05175188,0.773254198
H G Temp,58.70504929,0.77458546
H R Temp,57.8667777,0.77780424
L H Temp,57.29643308,0.779994238
H V R G Day Temp,56.94262513,0.781352783
L a V R G Day Temp,52.17393448,0.799663512
L a H V R G Day Temp,51.32257163,0.802932559
L a H V G Day Temp,50.620508,0.805628329
a H V R G Day Temp,50.27499579,0.806955021
L a R Temp,49.52555461,0.809832711
b H Day Temp,49.43134026,0.810194473
L a V G Day Temp,49.21429016,0.811027898
L H R G B Day Temp,49.13130092,0.811346559
L a H G Day Temp,49.06250661,0.811610714
a H R G Day Temp,48.89947576,0.812236716
L a H V R Day Temp,48.86897676,0.812353826
L a Temp,48.83829757,0.812471627
a V G Temp,48.42664232,0.814052293
H R G B Day Temp,48.1476142,0.8151237
L a H R Day Temp,47.9730891,0.815793839
L a H R G Day Temp,47.78584525,0.816512814
a H V R Day Temp,47.7749557,0.816554627
L a H V Day Temp,47.75613218,0.816626906
a V R G Day Temp,47.54651782,0.817431779
L a V R Day Temp,47.48445004,0.817670106
a H V G Temp,47.25403105,0.818554864
L a R G B Day Temp,47.13594387,0.819008293
L a H V G B Day Temp,47.0931235,0.819172714
R G B Day Temp,46.99543066,0.819547833
a H G Day Temp,46.92199132,0.819829824
L a H G B Day Temp,46.87406377,0.820013855
L a H V R G Temp,46.86863216,0.820034711
a H G Temp,46.84400231,0.820129285
L V G B Day Temp,46.81825165,0.820228162
a Temp,46.69318088,0.820708406
a H V R G B Day Temp,46.67664679,0.820771893
L R B Day Temp,46.63204305,0.820943162
L a R G Day Temp,46.59326005,0.82109208
a V G Day Temp,46.43770454,0.821689379
a H R Day Temp,46.42818694,0.821725925
L H R B Day Temp,46.3887053,0.821877525
L a H V R B Day Temp,46.36708526,0.821960542
L a H V R G B Day Temp,46.36057911,0.821985524
H V G B Day Temp,46.11151549,0.822941874
a V G B Day Temp,46.04253574,0.823206741
a H V G Day Temp,45.9016883,0.823747564
a H R G B Day Temp,45.67930408,0.824601471
L a H R G B Day Temp,45.67774083,0.824607473
L H V R G B Day Temp,45.60906585,0.82487117
L a H R B Day Temp,45.55924292,0.825062479
a V R B Day Temp,45.53752476,0.825145872
L a H Temp,45.53710091,0.8251475
L a G Day Temp,45.49605113,0.825305122
L a H V G Temp,45.45014998,0.825481372
a H R Temp,45.31258217,0.826009603
L a V Day Temp,45.23402227,0.826311256
L a H V Temp,45.17169583,0.826550575
a V R Day Temp,45.12191363,0.826741728
L a H R Temp,45.0326493,0.827084484
a R G Day Temp,44.93719255,0.827451017
L a R Day Temp,44.91456425,0.827537904
L V R B Day Temp,44.90911888,0.827558813
L a H V R Temp,44.87366387,0.827694953
a R B Day Temp,44.86204188,0.827739579
a H V R Temp,44.80715051,0.82795035
L a H R G Temp,44.75769725,0.828140239
L V B Day Temp,44.719653,0.828286321
a G Temp,44.70419338,0.828345683
L a b V R G Day Temp,44.68251022,0.828428941
L G B Day Temp,44.65804992,0.828522863
a H V R G Temp,44.65377615,0.828539274
a H R G Temp,44.65013005,0.828553274
a R G B Day Temp,44.63414374,0.828614658
a H V Day Temp,44.6276257,0.828639686
L a b H V Day Temp,44.53165208,0.829008203
a H V R B Day Temp,44.49868728,0.829134781
H V R G B Day Temp,44.48067067,0.829203961
L a Day Temp,44.42001168,0.829436878
L a H Day Temp,44.40165917,0.829507348
L a V R G Temp,44.39723286,0.829524344
L H V G B Day Temp,44.39111101,0.82954785
L a b H V G Day Temp,44.37155141,0.829622955
L a b H R G Day Temp,44.29802656,0.829905274
L R G B Day Temp,44.25850059,0.830057045
L a H G Temp,44.20989878,0.830243666
L H G B Day Temp,44.05347927,0.830844282
H V R B Day Temp,44.0481112,0.830864895
a G B Day Temp,44.0308163,0.830931303
H G B Day Temp,43.98366212,0.831112365
L H R B Temp,43.91742206,0.831366712
L a V B Day Temp,43.9047063,0.831415538
V R G B Day Temp,43.90252217,0.831423925
L a V G Temp,43.88942698,0.831474207
L a b H G Day Temp,43.86943701,0.831550964
a H V B Day Temp,43.86300995,0.831575643
V R B Day Temp,43.80239262,0.8318084
B Temp,43.73411027,0.832070589
a H V G B Day Temp,43.69363763,0.832225995
a R Temp,43.65824791,0.832361884
L H R G B Temp,43.60026467,0.832584527
H V R B Temp,43.58684118,0.83263607
L a V Temp,43.46219978,0.833114666
G B Temp,43.45163269,0.833155241
a b H R G Day Temp,43.40111632,0.833349213
G B Day Temp,43.39564773,0.833370211
L a G B Day Temp,43.38523875,0.83341018
R B Day Temp,43.38082249,0.833427137
L b R G B Day Temp,43.32740329,0.833632255
H R B Day Temp,43.24538987,0.833947169
L H B Day Temp,43.24176456,0.833961089
a b H V G Day Temp,43.22020977,0.834043855
L a R B Day Temp,43.19145017,0.834154285
a V R G Temp,43.12769528,0.83439909
a V Temp,43.12450949,0.834411323
a R Day Temp,43.12089634,0.834425197
V B Day Temp,43.10833636,0.834473424
L a b H V B Day Temp,43.09554966,0.834522522
L b R G Day Temp,43.05735137,0.834669195
L H G B Temp,43.03314928,0.834762126
L b H V G B Day Temp,42.95136941,0.835076143
L V R G B Day Temp,42.93660037,0.835132853
L a b R B Day Temp,42.89656074,0.835286596
L a G Temp,42.84540968,0.835483005
L b H V B Day Temp,42.82270509,0.835570186
a R G Temp,42.8137575,0.835604543
H V G B Temp,42.67387802,0.836141649
a b R G Day Temp,42.67304351,0.836144853
S V R B Day Temp,42.66867783,0.836161617
a b G B Day Temp,42.64783333,0.836241655
V R B Temp,42.61761463,0.836357688
L B Temp,42.5460725,0.836632394
a H V Temp,42.50184664,0.836802212
L a S G B Day Temp,42.4973978,0.836819295
L B Day Temp,42.47727763,0.836896552
L V R B Temp,42.44307579,0.837027879
L b V R G B Day Temp,42.40572109,0.837171313
R G B Temp,42.36107877,0.83734273
a V B Day Temp,42.35316506,0.837373117
a V R Temp,42.34190101,0.837416368
a G Day Temp,42.3323546,0.837453024
L a H B Day Temp,42.30991944,0.83753917
L R B Temp,42.26398365,0.837715554
L a V R Temp,42.25927931,0.837733617
a b V G B Day Temp,42.25336198,0.837756339
a H R B Day Temp,42.19443218,0.837982616
L a S V R B Day Temp,42.14892481,0.838157355
L V R G B Temp,42.09952792,0.838347028
V R G B Temp,42.09889207,0.838349469
L b V R G Day Temp,42.07868966,0.838427042
L H V R G B Temp,42.06006149,0.83849857
H R B Temp,42.05308557,0.838525356
a V R G B Day Temp,42.00142111,0.838723736
L b H G B Day Temp,42.00058878,0.838726932
V G B Temp,41.9894298,0.83876978
a V Day Temp,41.96126097,0.838877943
L a b G Day Temp,41.9271556,0.8390089
b R G B Day Temp,41.86837798,0.839234593
V G B Day Temp,41.86143969,0.839261234
L R G B Temp,41.84436374,0.839326802
L H V B Temp,41.8017471,0.839490441
L H V B Day Temp,41.75521514,0.839669113
L b H V R G Day Temp,41.66990873,0.839996671
L b V R B Day Temp,41.61714894,0.840199257
L H B Temp,41.57925783,0.840344751
R B Temp,41.53239135,0.840524708
S V R G B Day Temp,41.47040437,0.840762725
L a B Day Temp,41.43702067,0.840890911
L b B Day Temp,41.41146049,0.840989056
L b V G Day Temp,41.40821461,0.84100152
L V G B Temp,41.3672349,0.841158873
S V R G Day Temp,41.33928024,0.841266212
L a H S V R G Day Temp,41.31183592,0.841371593
a S V R G B Day Temp,41.29887852,0.841421346
L a H V B Day Temp,41.28238629,0.841484673
b H V G B Day Temp,41.26536077,0.841550047
L H S V R G B Day Temp,41.23481251,0.841667346
L H V R B Day Temp,41.20759558,0.841771853
L b H V R Day Temp,41.15131049,0.841987975
a b V R B Day Temp,41.14630327,0.842007202
L a S R G B Day Temp,41.12351387,0.842094708
a Day Temp,41.09813957,0.84219214
L a V R G B Day Temp,41.04675639,0.84238944
b V R Day Temp,41.02461622,0.842474453
L a b H S V R G B Day Temp,40.91913859,0.842879464
a H B Temp,40.91287546,0.842903514
L H V R B Temp,40.90282117,0.84294212
L a b S V B Day Temp,40.88449464,0.84301249
b V R G Day Temp,40.8729847,0.843056685
L a S R B Day Temp,40.8401906,0.843182607
b V G Temp,40.82806114,0.843229182
b V R B Day Temp,40.81359188,0.843284741
L a S V B Day Temp,40.79455796,0.843357827
L V B Temp,40.79039591,0.843373808
L a S V G Day Temp,40.77941419,0.843415976
L b H R G B Day Temp,40.74468187,0.84354934
S R G B Day Temp,40.70061122,0.843718562
L H V G B Temp,40.69302095,0.843747707
V B Temp,40.68170989,0.843791139
a H S R G Day Temp,40.66580058,0.843852227
L b G B Day Temp,40.65918809,0.843877617
b V G Day Temp,40.64510086,0.843931709
L b H V G Day Temp,40.64266159,0.843941076
L b H S V R G B Day Temp,40.62232947,0.844019146
L b V R Day Temp,40.61227416,0.844057757
L b V G B Day Temp,40.59540279,0.844122539
H S R G B Day Temp,40.59445827,0.844126166
L b V B Day Temp,40.58952569,0.844145106
a H G B Day Temp,40.58493713,0.844162725
H G B Temp,40.56325876,0.844245965
H V B Day Temp,40.56091806,0.844254953
H R G B Temp,40.53203725,0.844365849
a b H B Day Temp,40.51208126,0.844442475
a S V G B Day Temp,40.50905274,0.844454104
L G B Temp,40.48540322,0.844544913
L a V R B Day Temp,40.44774845,0.844689499
L a H S V G Day Temp,40.41105061,0.844830411
L a b Day Temp,40.39192094,0.844903865
L b V R Temp,40.37300588,0.844976495
a b H R B Day Temp,40.35944829,0.845028553
L b V G Temp,40.34078309,0.845100223
L a b B Day Temp,40.31865529,0.845185189
L S R G Day Temp,40.30947385,0.845220444
L a R G Temp,40.24626591,0.845463148
a S R G Day Temp,40.22968358,0.845526821
B Day Temp,40.2126382,0.845592271
a b H V R B Day Temp,40.19692157,0.84565262
L b V R G Temp,40.19622888,0.845655279
b V B Day Temp,40.1759508,0.845733143
H V B Temp,40.14817175,0.845839808
L b S V G B Day Temp,40.14420104,0.845855055
L b H B Day Temp,40.11998448,0.845948041
a b V G Day Temp,40.1029008,0.846013639
a b H V B Day Temp,40.07111187,0.846135701
a b V Day Temp,40.05698998,0.846189926
L b H V B Temp,40.05410984,0.846200986
b H V G Day Temp,40.0410104,0.846251284
a b R G B Day Temp,40.04069071,0.846252512
H V R G B Temp,40.03261268,0.84628353
a B Day Temp,40.01993893,0.846332194
L a H S V R G B Day Temp,39.95585897,0.846578247
L b H S R G B Day Temp,39.93066803,0.846674975
b R G Day Temp,39.92590659,0.846693258
L a b R Day Temp,39.90359026,0.846778948
L a V G B Day Temp,39.90210671,0.846784644
L b H V R G B Day Temp,39.88419042,0.846853439
a b S R G B Day Temp,39.87795375,0.846877386
b H V R G B Day Temp,39.8442393,0.847006842
a b S V R G B Day Temp,39.83598004,0.847038556
a b R B Day Temp,39.82391924,0.847084867
L a S G Day Temp,39.80257761,0.847166814
L a S R G Day Temp,39.77857743,0.84725897
L S V G B Day Temp,39.7750732,0.847272425
L b H R G Temp,39.76979602,0.847292688
L b V G B Temp,39.76853586,0.847297527
L a H G B Temp,39.73603736,0.847422314
L a S B Day Temp,39.71954927,0.847485625
b V Temp,39.69816198,0.847567747
a S V B Day Temp,39.69760665,0.84756988
L S G B Day Temp,39.65523416,0.847732581
a b V R Day Temp,39.65478911,0.84773429
b S R G B Day Temp,39.64846381,0.847758577
a H Temp,39.58340967,0.848008371
L b H V Day Temp,39.57113542,0.848055502
H B Temp,39.55985917,0.8480988
L a b H S V G Day Temp,39.54395818,0.848159856
L b H R B Day Temp,39.52845854,0.848219371
L a b G B Day Temp,39.52728744,0.848223868
L S R B Day Temp,39.48726741,0.848377536
L a b H S G B Day Temp,39.47065086,0.84844134
L H S V R B Day Temp,39.45486799,0.848501943
a H S G B Day Temp,39.44404164,0.848543514
b V B Temp,39.42612679,0.848612303
b H R G Day Temp,39.42412994,0.84861997
b H V R B Day Temp,39.41448547,0.848657003
b V G B Day Temp,39.38475526,0.848771161
b V G B Temp,39.36374441,0.848851838
b V R G B Day Temp,39.35538323,0.848883943
b H V B Day Temp,39.30916856,0.849061397
L H S V R G Day Temp,39.30170657,0.849090049
a b R Day Temp,39.28447444,0.849156217
L a H V B Temp,39.27748232,0.849183065
H S V R G B Day Temp,39.21958761,0.849405368
a b Day Temp,39.21949808,0.849405712
a H R B Temp,39.19663052,0.849493518
b H V R Day Temp,39.18590464,0.849534703
L b R B Day Temp,39.16477687,0.849615829
L a b V R Day Temp,39.15970945,0.849635287
L b R G B Temp,39.13344802,0.849736125
L b H S G B Day Temp,39.1288896,0.849753629
L a b S V R G Day Temp,39.11748449,0.849797422
L S R G B Day Temp,39.10841486,0.849832247
L b H R G Day Temp,39.05515132,0.850036768
a H S V B Day Temp,39.05248962,0.850046988
a b H G B Day Temp,39.04238834,0.850085775
b H V R G Day Temp,39.03135731,0.850128131
b V R B Temp,39.02915658,0.850136582
L a H S G B Day Temp,39.02835926,0.850139643
b H R G B Day Temp,39.01622268,0.850186245
a b V R G Day Temp,39.00220014,0.850240089
b R B Temp,38.99594739,0.850264098
L a b S G B Day Temp,38.98032814,0.850324072
L a b R G Day Temp,38.95533316,0.850420047
a S R B Day Temp,38.90620001,0.850608708
L S V G Day Temp,38.90310538,0.850620591
a H V G B Temp,38.8945549,0.850653423
a B Temp,38.88082249,0.850706152
a b V B Day Temp,38.87161083,0.850741523
L a H S B Day Temp,38.86776039,0.850756308
L S V R Day Temp,38.86055412,0.850783978
L a b H V R G Day Temp,38.84659636,0.850837573
H S V G B Day Temp,38.83121512,0.850896634
a H S V R B Day Temp,38.81077246,0.850975129
L b R B Temp,38.80585802,0.850993999
L b V R G B Temp,38.76898303,0.851135591
b H R B Day Temp,38.76358546,0.851156317
L b H R Day Temp,38.73618428,0.851261531
b V R G Temp,38.73022455,0.851284415
a H S V G Day Temp,38.72957263,0.851286918
L b R Day Temp,38.7071837,0.851372887
L b S R G B Day Temp,38.69847085,0.851406342
b S V R G Day Temp,38.68455443,0.851459778
H S V R B Day Temp,38.63965654,0.851632177
b R Temp,38.62935006,0.851671751
a b B Day Temp,38.62734161,0.851679463
L H S V R Day Temp,38.62557995,0.851686228
L b H S V R G Day Temp,38.59073081,0.851820041
L b V Temp,38.54653305,0.85198975
a b H R G B Day Temp,38.54335959,0.852001936
L b G B Temp,38.53910867,0.852018258
b H V Day Temp,38.49482711,0.85218829
L a b V R B Day Temp,38.45344306,0.852347196
L b R G Temp,38.42867614,0.852442295
L a b V B Day Temp,38.42426036,0.852459251
L a b R G B Day Temp,38.40795272,0.852521869
L b G Temp,38.40688888,0.852525953
L a b S R G B Day Temp,38.38443466,0.852612173
L b G Day Temp,38.34993636,0.852744639
b R G Temp,38.34036105,0.852781406
b V R G B Temp,38.33001422,0.852821135
b R B Day Temp,38.32639812,0.85283502
L b H V R Temp,38.31129947,0.852892996
L b V B Temp,38.29083227,0.852971585
L a b H V R Day Temp,38.28592121,0.852990443
L b H S V R B Day Temp,38.2626274,0.853079886
L a b H S V B Day Temp,38.25455259,0.853110891
L H S V G B Day Temp,38.25005893,0.853128146
b H V G B Temp,38.24461032,0.853149068
L b H R B Temp,38.24265413,0.853156579
b H S V R G B Day Temp,38.2260217,0.853220444
L b V Day Temp,38.21113793,0.853277594
a H S V G B Day Temp,38.20561433,0.853298804
b R G B Temp,38.18296942,0.853385755
a b H V Day Temp,38.1776844,0.853406048
b B Temp,38.17188437,0.853428319
L b H Day Temp,38.1633162,0.853461219
a b H V R Day Temp,38.16176951,0.853467158
L a b S B Day Temp,38.16085119,0.853470684
L S V R G Day Temp,38.15222962,0.853503789
L S V B Day Temp,38.14379191,0.853536188
b H S R G B Day Temp,38.10673106,0.853678494
b H S V R G Day Temp,38.10437263,0.85368755
